Date,Project Number,Name,Province,Sector,Amount
20-Sep-17,104114,CRIME & DRUGS FREE FOUNDATION,Unknown,ARTS,80000
02-Aug-17,74643,NELSON MANDELA BAY TOURISM,EC,ARTS,1200000
02-Aug-17,91467,HUDSON PARK PRIMARY SCHOOL,EC,ARTS,227300
29-Mar-18,56623,GUNGUBELE JUNIOR SECONDARY SCHOOL,EC,ARTS,1648012.8
27-Oct-17,59451,GRAHAMSTOWN FOUNDATION,EC,ARTS,1632242
19-Apr-17,73181,SOUTH END MUSEUM TRUST,EC,ARTS,495365.14
25-May-17,73821,THE DONALD WOODS FOUNDATION (SA) TRUST,EC,ARTS,862833.4
21-Jun-17,73828,CATHOLIC DEVELOPMENT CENTRE,EC,ARTS,190000
19-Apr-17,73867,S'HLANGENE DANCERS,EC,ARTS,180000
31-May-17,73994,RETINA SOUTH AFRICA (EASTERN CAPE BRANCH),EC,ARTS,885499.08
21-Nov-17,74596,SINAKHO TRUST,EC,ARTS,860000
14-Dec-17,74653,AFESIS-CORPLAN,EC,ARTS,1999835.4
09-Feb-18,74659,UMTHATHI TRAINING PROJECT TRUST,EC,ARTS,140000
15-Dec-17,74660,COOKHOUSE CHILDREN FOUNDATION,EC,ARTS,1853550.95
17-Aug-17,74663,SA COLLEGE FOR TOURISM,EC,ARTS,599996
03-May-17,74670,TEMBA COMMUNITY DEVELOPMENT SERVICES,EC,ARTS,270000
21-Nov-17,74678,Stirling High School,EC,ARTS,190000
01-Sep-17,74690,LOVEDALE FET COLLEGE,EC,ARTS,380000
19-Sep-17,74693,COLLEGE STREET PRIMARY SCHOOL,EC,ARTS,380000
16-Mar-18,90486,NELSON MANDELA BAY TOURISM,EC,ARTS,189743.5
20-Dec-17,90487,EASTERN CAPE PHILHARMONI SOCIETY,EC,ARTS,863384
19-Jan-18,91685,EVELYN LEKGANYANE HOME BASED CARE,EC,ARTS,140000
13-Oct-17,91794,INGOMSO FILM SKILLS AND YOUTH DEVELOPMENT,EC,ARTS,1282481
20-Dec-17,91809,MIDDELBUR.G HIGH SCHOOL,EC,ARTS,95000
20-Dec-17,92254,CAT CONSERVATION TRUST,EC,ARTS,914470.75
16-Mar-18,92829,BULEMBU PRIMARY SCHOOL,EC,ARTS,24852
30-Nov-17,92991,MBIZANA PRIMARY SCHOOL,EC,ARTS,80000
12-May-17,93671,BARKLY EAST YOUTH DEVELOPMENT PROGRAMME,EC,ARTS,232636.02
15-Aug-17,93734,AMAQHAWE HEROES FORUM ORGANISATION,EC,ARTS,662280
08-Aug-17,98075,BETHESDA FOUNDATION SA,EC,ARTS,485000
01-Sep-17,104120,EKHAYA PRODUCTIONS,EC,ARTS,100000
18-Jan-18,104120,EKHAYA PRODUCTIONS,EC,ARTS,41750
04-May-17,104203,WILD COAST SUN MBIZANA DEVELOPMENT TRUST,EC,ARTS,7000000
08-Aug-17,104385,THATO COMMUNITY CRISIS CENTRE,EC,ARTS,4800000
30-Nov-17,105348,SAKHIKAMVA COMMUNITY BASED ORGANISATION,EC,ARTS,1121172
1-Mar-18,107108,NATIONAL ARTS FESTIVAL GRAHAMSTOWN,EC,ARTS,3240000
1-Mar-18,107347,ZWARTKOPS CONSERVANCY,EC,ARTS,376648
1-Mar-18,107648,SINETHEMBA & TIMBER CRAFT ORGANISATION,EC,ARTS,400000
1-Dec-17,107803,SAKHISIZWE EDUTAINMENT PRODUCTIONS,EC,ARTS,2016000
02-Aug-17,89316,A C V V ABERDEEN,EC,CHARITIES,203000
18-Jan-18,62016,SIYAPHAMBILI PRIMARY SCHOOL,EC,CHARITIES,65180
16-Mar-18,64823,LINA COMMUNITY DEVELOPMENT,EC,CHARITIES,125750
01-Sep-17,66234,MASIKHONZANE PRE-SCHOOL,EC,CHARITIES,67125
19-Jan-18,79891,HOME BOYS RUGBY FOOTBALL CLUB,EC,CHARITIES,200000
15-Aug-17,80195,STEYNSBURG COMBINED SCHOOL,EC,CHARITIES,300679.03
23-May-17,80709,LUTSHAYA PRE-SCHOOL,EC,CHARITIES,1266666
05-Sep-17,80709,LUTSHAYA PRE-SCHOOL,EC,CHARITIES,1266667
11-Jan-18,80819,PULANE CRECHE,EC,CHARITIES,181254
01-Aug-17,81004,QAQAMBA DAY CARE CENTRE,EC,CHARITIES,805000
08-Sep-17,81007,NCEDULUNTU PRE SCHOOL,EC,CHARITIES,1266666
09-Feb-18,81007,NCEDULUNTU PRE SCHOOL,EC,CHARITIES,1266667
12-May-17,81042,MY LITTLE WORLD PRE SCHOOL,EC,CHARITIES,1050000
19-Jan-18,82012,PHINDANGENE CRECHE,EC,CHARITIES,1266667
13-Jun-17,82283,SIYAZAMA DAY CARE CENTRE,EC,CHARITIES,1266666
21-Jun-17,82283,SIYAZAMA DAY CARE CENTRE,EC,CHARITIES,1266667
07-Mar-18,82329,LOYISO CAY CARE CENTRE,EC,CHARITIES,1266666
17-Mav-17,82346,LOVEDALE DAY CARE CENTRE,EC,CHARITIES,1266666
05-Sep-17,82346,LOVEDALE DAY CARE CENTRE,EC,CHARITIES,1266667
03-Mav-17,82356,NXANEL'MFUNDO DAY CARE CENTRE,EC,CHARITIES,1050000
17-Mav-17,82422,NOLUVUYO PRE-SCHOOL,EC,CHARITIES,1266666
05-Sep-17,82422,NOLUVUYO PRE-SCHOOL,EC,CHARITIES,1266667
03-Oct-17,82442,EBENEZER EDUCARE CENTRE FOR ABLE & DISABLED,EC,CHARITIES,1266666
23-Mav-17,82454,MAVUSO PRE-SCHOOL,EC,CHARITIES,1266666
01-Sep-17,82454,MAVUSO PRE-SCHOOL,EC,CHARITIES,1266667
26-Apr-17,85986,ASSOCIATION FOR THE PHYSICALLY DISABLED: EASTERN CAPE - PORT ELIZABETH REGION,EC,CHARITIES,957149
05-May-17,85997,MASINYUSANE DEVELOPMENT ORGANIZATION,EC,CHARITIES,518400
12-May-17,86000,CHILD WELFARE SOUTH AFRICA: KENTON BOESMANS,EC,CHARITIES,531445
12-May-17,86199,UBUNYE FOUNDATION TRUST,EC,CHARITIES,529450
21-Apr-17,86207,ACVV VAN UITENHAGE,EC,CHARITIES,530007
13-Oct-17,86208,THE INTEGRATED COMMUNITY DEVELOPMENT PROGRAMME TRUST,EC,CHARITIES,476950
12-May-17,86224,7TH HEAVEN CHILDREN'S HAVEN,EC,CHARITIES,459212
13-Jun-17,86246,OOSTERLAND CHILD & YOUTH CARE CENTRE,EC,CHARITIES,995247
12-May-17,86262,ACVV SOMERSET OOS,EC,CHARITIES,136620
12-May-17,86279,CMSL COMMUNITY TRUST,EC,CHARITIES,342668
01-Aug-17,86325,CHILD WELFARE SOUTH AFRICA : FORT BEAUFORT,EC,CHARITIES,599300
12-May-17,86328,CHILD WELFARE SOUTH AFRICA: SOMERSET EAST,EC,CHARITIES,788609
12-May-17,86333,SOUTH AFRICAN SEA CADETS,EC,CHARITIES,398000
13-Jun-17,86540,MARAIS STEYN HOME FOR THE AGED/MARAIS STEYN HUIS VIR BEJAARDES,EC,CHARITIES,180000
12-May-17,86850,LAKE FARM CENTRE AID ASSOCIATION,EC,CHARITIES,310000
15-Dec-17,86857,PORT ELIZABETH DOWN SYNDROME ASSOCIATION,EC,CHARITIES,345000
12-May-17,86869,THE EASTERN PROVINCE CHILDREN'S HOMES,EC,CHARITIES,792604
03-May-17,86887,ELLIOT TEHUIS VIR BEJAARDES,EC,CHARITIES,153533
19-Apr-17,86905,CHESHIRE HOME SUMMERSTRAND,EC,CHARITIES,1623805
19-Apr-17,86926,CHRISTELIK MAATSKAPLIKE RAAD VAN DIE DRAKENSBERG,EC,CHARITIES,469819
03-May-17,86986,CHILD WELFARE SOUTH AFRICA: PORT ALFRED,EC,CHARITIES,658935
21-Apr-17,87086,PORT ALFRED BENEVOLENT SOCIETY,EC,CHARITIES,280900
12-Oct-17,87097,IBHABHATHANE COMMUNITY CENTRE,EC,CHARITIES,95000
23-Aug-17,87109,HUIS TARKASTAD,EC,CHARITIES,255000
12-May-17,87118,A C V V KIRKWOOD,EC,CHARITIES,47810
13-Jun-17,87126,VUYANI SAFE HAVEN,EC,CHARITIES,420421
12-Oct-17,87138,ILISO PROJECT,EC,CHARITIES,664970
29-Mar-18,88209,ACVV ELDORADO DIENSTAK,EC,CHARITIES,1601329
25-May-17,88218,ST FRANCIS HOSPICE ASSOCIATION,EC,CHARITIES,830000
22-Mar-18,88238,SOPHUMELELA CENTRE,EC,CHARITIES,256544
16-Mar-18,88273,INSTITUTE OF TRAINING AND EDUCATION FOR CAPACITY BUILDING,EC,CHARITIES,524000
16-Mar-18,88280,THE HAVEN WELLNESS CENTRE,EC,CHARITIES,521500
12-Oct-17,88281,CAREL DU TOIT TRUST (EAST LONDON),EC,CHARITIES,170248.3
12-May-17,88304,DOXA YOUTH PROGRAMS,EC,CHARITIES,176750
12-Oct-17,88332,D.J. SOBEY OLD AGE HOME,EC,CHARITIES,205000
12-Oct-17,88337,FAMILIES SOUTH AFRICA (FAMSA STUTTERHEIM),EC,CHARITIES,200000
19-Apr-17,88340,DIMBAZA SOCIETY FOR THE AGED,EC,CHARITIES,655000
29-Mar-18,88386,SMALL PROJECTS FOUNDATION,EC,CHARITIES,613000
29-Aug-17,88394,THE ASSOCIATION FOR THE REHABILITATION OF PERSONS WITH DISABILITY,EC,CHARITIES,504000
25-May-17,88411,IMIZAMOYETHU DAY CARE CENTER,EC,CHARITIES,386699
12-Oct-17,88414,SIZAMILE TRAINING CENTRE,EC,CHARITIES,301999.7
28-Nov-17,88416,KHULULEKA COMMUNITY EDUCATION DEVELOPMENT CENTRE TRUST,EC,CHARITIES,900000
23-Aug-17,88419,ILITHA EDUCARE CENTRE,EC,CHARITIES,325084
12-May-17,88426,MAYIBENATHI SERVICE CENTER,EC,CHARITIES,167423.5
19-Apr-17,88499,UMBONO SERVICE CENTRE FOR THE AGED,EC,CHARITIES,325080
08-Aug-17,88508,CRADOCK KINDER - EN GESINSORGVERENIGING,EC,CHARITIES,773056
16-Jan-18,89039,HONEYBEE DAY CARE CENTRE,EC,CHARITIES,114000
16-Jan-18,89133,CAREL DU TOIT- TRUSTFONDS VIR DIE HABILITASIE VAN GEHOORGESTREMDE KINDERS,EC,CHARITIES,165420
28-Nov-17,89175,ACVV ALGOA PARK,EC,CHARITIES,138500
14-Nov-17,89195,MADEIRA HOME HOUSING UTILITY COMPANY,EC,CHARITIES,300285
14-Nov-17,89229,CHILD AND FAMILY WELFARE SOCIETY:EAST LONDON,EC,CHARITIES,363310
28-Nov-17,89232,EASTERN CAPE PROVINCIAL COUNCIL FOR PERSONS WITH PHYSICAL DISABILITIES,EC,CHARITIES,100000
03-Oct-17,89234,CHILD WELFARE SOUTH AFRICA: HUMANSDORP,EC,CHARITIES,1802500
