Name,Province,Sector,Amount
Arts & Teaching Initiatives,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",460200
Berlin Literacy Project,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",463800
Buffalo City Municipality,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",800000
Disabled People South Africa (DPSA),EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",175498
East London Guild Theatre Company,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",528275
Eastern Cape Eisteddfod,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",300000
Eastern Cape Philharmonic Society,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1876744
First Physical Theatre Company,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",450000
Grahamstown Foundation,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",565500
Grahamstown Foundation,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",151000
Ikhwezi Empowerment and Tender Service Centre,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1734000
Imbizo Arts of South Africa,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",162400
Makana Municipality,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",157375
Masibambane Christian Development Centre,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",75208
Masizame Community Development Centre,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",743198
National Arts Festival Grahamstown,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",10500000
NICRO Eastern Cape,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",38500
Rhodes University (Rhodes Drama Department),EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",450000
Rhodes University Secondary Schools Language Project,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",304000
SA Library for the Blind,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Sizabantu Community Arts & Craft Organisation,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",369100
Small Project Foundation,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",107690
Small Projects Foundation,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",77440
Small Projects Foundation,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",75020
South African Marine Rehabilitation & Education Trust,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",8100000
South End Museum Trust,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",1210000
Traliso,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",829000
University of Cape Town,EASTERN CAPE,"ARTS, CULTURE AND NATIONAL HERITAGE",207000
National Museum Bloemfontein,FREESTATE,"ARTS, CULTURE AND NATIONAL HERITAGE",112033
National Museum Bloemfontein,FREESTATE,"ARTS, CULTURE AND NATIONAL HERITAGE",606150
Northern Free State Institute Community Development,FREESTATE,"ARTS, CULTURE AND NATIONAL HERITAGE",2376425
Performing Arts Centre of the Free State (PACOFS),FREESTATE,"ARTS, CULTURE AND NATIONAL HERITAGE",1500000
University of South Africa,FREESTATE,"ARTS, CULTURE AND NATIONAL HERITAGE",1315000
African Cultural Organisation of South Africa (ACOSA),GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",595000
Alder Museum of Medicine,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1250000
Arep Education Trust (Theatre for Social Education),GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Artist Proof Studio,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",200000
Ballet Theatre Afrikan,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Bees Trust,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",800000
Birdlife South Africa,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",64275
Birdlife South Africa,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",203250
Bona Art Assembly,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",261248
CLDA City,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",368705
Concept Specialist,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1212689
Dedeli’ngoma Music Theatre Company,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",350955
Delta Environmental Centre,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",265400
Delta Environmental Centre,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",1950000
Ecocity Trust,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",850000
Eersterust Theatre Kitchen,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",40000
Endangered Wildlife Trust,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",185476
Film Resource Unit,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",2835798
Food and Trees for Africa,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Forest Town Foundation,GAUTENG,"ARTS, CULTURE AND NATIONAL HERITAGE",250000
