Name,Sector,Province,Amount
Family & Community Services: Johannesburg,Charities,Gauteng,180000
Family Health Services: Lenasia,Charities,Gauteng,75000
Family Life Centre (FAMSA): Johannesburg,Charities,Gauteng,513827
FAMSA East Rand: Boksburg,Charities,Gauteng,500000
FAMSA Vaal Triangle,Charities,Gauteng,193850
FAMSA West Rand: Roodepoort,Charities,Gauteng,350000
Flower Foundation Homes for the Aged: Pretoria,Charities,Gauteng,388600
Food Gardens Foundation: Johannesburg,Charities,Gauteng,250000
Forest Farm Centre: Johannesburg,Charities,Gauteng,298761
Forest Town Foundation: Johannesburg,Charities,Gauteng,650000
Genesis: Johannesburg,Charities,Gauteng,300000
Good Shepherd Fatima House,Charities,Gauteng,150000
Gordonia Institute: Johannesburg,Charities,Gauteng,100000
Greater Benoni Child Welfare,Charities,Gauteng,249565
Greater Germiston Society for Child & Family Welfare,Charities,Gauteng,100000
Greater Soweto Association for Early Childhood Development,Charities,Gauteng,395000
Grow Early Learning Trust Johannesburg,Charities,Gauteng,753000
Guild Cottage: Johannesburg,Charities,Gauteng,324600
Headway Gauteng: Johannesburg,Charities,Gauteng,31900
Heidelberg SPCA,Charities,Gauteng,250000
HIPPY South Africa: Johannesburg,Charities,Gauteng,800000
Hlengiwe Day Care Centre: Meadowlands,Charities,Gauteng,76923
Hope Worldwide SA,Charities,Gauteng,1000000
Hope Worldwide South Africa: Johannesburg,Charities,Gauteng,250000
Horizon Care Centre for Persons with Mental Disability: Pretoria,Charities,Gauteng,100000
Hospice Association: Johannesburg,Charities,Gauteng,1525155
Hospice East Rand: Benoni,Charities,Gauteng,391296
Hospice in the West Krugersdorp,Charities,Gauteng,500000
House Otto Self-Help: Johannesburg,Charities,Gauteng,169000
Ikhwezilokusa Home for Mentally & Physically Disabled Children: Meyerton,Charities,Gauteng,300000
Inkosinothando Educare Centre: Dobsonville,Charities,Gauteng,82886
Institute for primary health: Soshanguve,Charities,Gauteng,500000
Ipelegeng Youth Leadership Development: Johannesburg,Charities,Gauteng,646713
Iphateleng Social Development Service Pretoria,Charities,Gauteng,203000
Irene Homes: Irene,Charities,Gauteng,1244784
Jacaranda Haven Pretoria,Charities,Gauteng,206044
Johanna Raath Service Centre: Pretoria,Charities,Gauteng,441000
Johannesburg Association for the Aged,Charities,Gauteng,650000
Johannesburg Child Welfare Society,Charities,Gauteng,2000000
Johannesburg Coronation Foundation,Charities,Gauteng,1000000
Johannesburg Institute of Social Services: Lenasia,Charities,Gauteng,500000
Johannesburg Jewish Helping Hand,Charities,Gauteng,2400000
Johannesburg Parent & Child Counselling Centres,Charities,Gauteng,1000000
Johannesburg Society for the Blind,Charities,Gauteng,500000
Johannesburg SPCA,Charities,Gauteng,1000000
Joy Day Care: Meadowlands,Charities,Gauteng,84497
Kagiso Child & Family Welfare Society,Charities,Gauteng,160000
Katlehong Early Learning Resource Unit,Charities,Gauteng,440000
Khauhelo Centre: Mphlakeng,Charities,Gauteng,10000
Kids Haven: Johannesburg,Charities,Gauteng,1500000
Kowa Pienaar Home for Disabled: Germiston,Charities,Gauteng,964500
Krugersdorp Council for the Care of the Aged,Charities,Gauteng,350000
Kwa Thema Society for the Aged,Charities,Gauteng,500000
