Name,Sector,Province,Amount
Field Band Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1831608
Labour Research Service,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,385000
Magnificat Performing Arts,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,848863
Moving into Dance Mophatong Trust,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1365000
MTN Science Centre,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,987450
National Film & Video Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,36000000
SA Ballet Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,2949440
South African Blind Musicians Association,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1000000
South African Flower Union,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,102000
South African National Parks,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,13000000
South African Scriptwriters Association,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,362875
Soyikwa Institute of African Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1250250
Success Music and Drama Institution,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,951912
The Forgotten Angel Theatre Collaborative,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1016860
The International Classical Music Festival,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,4500000
Ubom Eastern Cape Drama Company,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1400000
Women in Writing Writers Association,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1070300
Zakheni South Africa Music Trust,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1200000
Ballet Theatre Afrikan,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,2053964
Craft Council of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,45000
Khulumani Support Group,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,302000
Midi Trust,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1025000
National Eisteddfod Academy,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,1779000
Siwela Sonke Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,600000
South African National Youth Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",National Bodies,719465
Abangani Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,200000
African Cultural & Community Development Association,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,742420
Albany Museum: Historical Anthropology Dept,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,221133
Arts & Teaching Initiatives,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,327500
Ed-U College Port Elizabeth,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,518946
Fort Hare Institute of Social & Economic Research,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,495000
Hewu Advice Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,357389
Imbizo Arts of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,1352000
Makana Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,170800
MINTEK,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,2113333
MTR Smit Children's Haven,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,704000
Nelson Mandela Metro Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,900000
Nelson Mandela Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,1020000
Rhodes University International Library of African Music,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,307000
Shakespeare Society of Southern Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,1110000
Sid Fourie Trust/Jansenville Museum,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,934438
Sizabantu Community Arts and Culture,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,209882
South End Museum Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,314000
Sundays River Valley Municipality in Partnership Inqweba Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,300000
Wordfest,"ARTS, CULTURE & NATIONAL HERITAGE",Eastern Cape,1104099
Abangani Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,200000
Ass for Persons with Disabilities and the Deaf,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,1130000
Bohlokong Choral Society,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,210000
Dramatists Against Crime Theatre Group,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,74350
Free State Theatre Acts,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,1317500
Lesedi la Setjhaba Welfare Organisation,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,500000
Maluti Aphofung Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,500000
Motswako Performing Artists,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,300000
Opera Africa in Partnership with African Renaissance,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,1187400
PACOFS,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,1000000
Performing Arts Centre of the Free State,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,1955000
South African Legion,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,49500
Technikon Free State,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,2355000
Technikon Free State Revival of Letema,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,498150
The Parent-Lecturer Ass of Free State Musicon,"ARTS, CULTURE & NATIONAL HERITAGE",Free State,191456
Abangani Theatre in Partnership Mthakthi Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,800000
African Cultural Organisation of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,490235
Ballet Theatre Afrikan,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2056215
Bona Art Assembly Sechaba Artists,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1098420
Bonang Bophelo Development Organisation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,246270
Chamber Orchestra of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,500000
City of Johannesburg: Arts Alive Int Festival,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2000000
City of Tshwane Metro Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,500000
Colla Voice Youth Choir,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1633550
De Wildt Cheetah & Wildlife Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,106667
Dramatists Against Crime Theatre Group,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,74350
East Rand Youth Orchestra Association,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,612115
Eco-Access,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1773602
Eco City Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2850000
Environment & Infrastructure Development Trust Partnership with Siyasiza Trust and Khumbula Zulu,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,14122400
Film & TV Unit Monash University SA,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1000000
Friedenskirche Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,400000
Friends of the Greater Johannesburg Public Library,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,327750
Fuba School of Music,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1351297
Gauteng Dance Manyano,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,235300
Human Sciences Research Council,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,140000
Intuthuko Yesizwe Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,611400
Jazz Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,710000
Johannesburg Dance Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,96000
Johannesburg Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1000000
Ke Ditselana Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,3000000
La Rosa Spanish Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,389232
Lebogang Development Association,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,797698
Library & Information Association of SA,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,214000
Mahlasedi Arts & Culture Forum,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1969316
Mamas & Brothers Community Youth Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,159220
National Botanical Institute,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,3254020
National Craft Association,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2089186
Northern Flagship Institution,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2846000
Ochrim School of Music,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,192000
Opera Africa in Partnership with African Renaissance,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1187400
Roodepoort City Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,2880000
SA Heritage Resource,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,195400
SA Script Writers Association,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,384760
Sedibeng District Council,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,100000
Sibikwa Community Theatre Project,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,561650
South African Heritage Resources Agency,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1954000
Soweto Community Dance Project,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,825100
SOWETO Youth Drama Society,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,751000
SOWETO Youth Drama Society,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,462754
"Soweto Youth Drama Society, Vuma Productions","ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,612000
Soweto Youth Music Development,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,180180
Soyikwa Institute of African Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,728755
Technikon Pretoria Dept of Dance and Musical Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,300000
The Actors Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,497050
The Eskia Institute,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,140000
The Johannesburg Dance Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,120000
The Magnet Theatre Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,306883
Trevor Huddleston Memorial Centre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,973930
Tribhangi Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1890500
Tribhangi Dance Theatre: National Tour,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,353000
Tshwane Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,588000
Ubuntu Youth Organisation Katleho Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,600000
Unomthandazo Company,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,64795
Utlwanang Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,268100
Vaal Theatre Productions,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,100000
Vuyani Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,1207060
Windybrow Centre for the Arts,"ARTS, CULTURE & NATIONAL HERITAGE",Gauteng,5160000
Arts & Media Access Centre,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,795000
Drakensberg Boys Choir,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,1100000
Drakensberg Choir School,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,97000
Durban & Coastal Mental Health,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,40000
Edendale lay Ecumenical Centre,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,104000
Ekubusisweni C & F Welfare Society,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,300000
English Language Education Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,615780
Friends of Music,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,324400
Institute for Aquatic Biodiversity,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,1050131
Khumbulani Craft,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,129523
Kwa Dukuza Municipality,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,235500
KwaZulu Natal Crane Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,193200
KwaZulu Natal Youth Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,60000
KZN Dance Link,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,1200000
KZN Performing Arts Company,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,700000
Ladysmith Seige Museum Trust,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,1850000
MINTEK,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,2113333
Msunduzi Music Centre,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,238300
Natal Blind and Deaf Society,"ARTS, CULTURE & NATIONAL HERITAGE",KwaZulu Natal,810288
