Name,Sector,Amount,Project Number
Footprints Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",132600,21658
Fordsburg Artists Studios,"ARTS, CULTURE & NATIONAL HERITAGE",278128,11571
Forgotten Angle,"ARTS, CULTURE & NATIONAL HERITAGE",216376,15287
Forgotten Angle,"ARTS, CULTURE & NATIONAL HERITAGE",200000,16589
Friends of Music,"ARTS, CULTURE & NATIONAL HERITAGE",645180,21682
Friends of the Greater JHB Public Library,"ARTS, CULTURE & NATIONAL HERITAGE",131100,14690
Gauteng Dance Manyano,"ARTS, CULTURE & NATIONAL HERITAGE",395750,21458
Gauteng North Chamber of Commerce & Industry,"ARTS, CULTURE & NATIONAL HERITAGE",300000,19188
Girl Guides Association of SA,"ARTS, CULTURE & NATIONAL HERITAGE",437000,21913
Gods Golden Acre,"ARTS, CULTURE & NATIONAL HERITAGE",87750,16409
Great Edendale Environmental Network,"ARTS, CULTURE & NATIONAL HERITAGE",25000,1982
Great Edendale Environmental Network,"ARTS, CULTURE & NATIONAL HERITAGE",234734,21845
Hermanus Whale Festival,"ARTS, CULTURE & NATIONAL HERITAGE",250000,21564
Hermanus Whale Festival,"ARTS, CULTURE & NATIONAL HERITAGE",250000,21564
Hilton College Theatre (Hiltonian Society),"ARTS, CULTURE & NATIONAL HERITAGE",636981,21635
Human Resource & Social Information Centre,"ARTS, CULTURE & NATIONAL HERITAGE",108600,17494
Human Rights Media Centre,"ARTS, CULTURE & NATIONAL HERITAGE",284515,15217
IDASA (Kutlwanong Democracy Centre),"ARTS, CULTURE & NATIONAL HERITAGE",477300,22489
Imbali Visual Literacy Project,"ARTS, CULTURE & NATIONAL HERITAGE",249500,18529
Institute for Training & Education for Capacity Building,"ARTS, CULTURE & NATIONAL HERITAGE",477488,23467
Institute for the Blind Industries,"ARTS, CULTURE & NATIONAL HERITAGE",444610,15947
International Classical Music Festival of SA,"ARTS, CULTURE & NATIONAL HERITAGE",1500000,15602
Inzalo Dance and Theatre Company,"ARTS, CULTURE & NATIONAL HERITAGE",335698,21816
Iziko Museums of Cape Town,"ARTS, CULTURE & NATIONAL HERITAGE",1866000,3853
Jala Peo Trust,"ARTS, CULTURE & NATIONAL HERITAGE",108000,17958
Jazz Foundation of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",3750000,21626
Jazz Foundation of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",750000,21626
Jazz Foundation of South Africa,"ARTS, CULTURE & NATIONAL HERITAGE",3750000,21626
Jazzart Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",300000,21461
Jazzart Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",907276,21330
Jazzart Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",270000,21461
Johannes Stegmann Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",367000,16569
Johannesburg Dance Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",73120,22954
Johannesburg Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",100000,15654
Johannesburg Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",3453520,21685
Johannesburg Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",3453520,21685
Johannesburg Youth Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",100000,18615
Johannesburg Youth Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",1560000,17962
Karos & Kambro,"ARTS, CULTURE & NATIONAL HERITAGE",1000000,21688
Khulumani Support Group,"ARTS, CULTURE & NATIONAL HERITAGE",120800,12784
Khumbulani Craft,"ARTS, CULTURE & NATIONAL HERITAGE",214898,12799
Khumbulani Craft,"ARTS, CULTURE & NATIONAL HERITAGE",107448,12799
Kopana Ke Matla Youth Group,"ARTS, CULTURE & NATIONAL HERITAGE",125000,16905
Kubonakele Advice Centre,"ARTS, CULTURE & NATIONAL HERITAGE",385200,21711
KwaZulu Heritage Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",574500,16577
KZN Dance Link,"ARTS, CULTURE & NATIONAL HERITAGE",400000,15943
La Rosa Spanish Dance Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",477300,21502
Lutheran Community Outreach Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",370000,21536
Marine Environmental Education Trust,"ARTS, CULTURE & NATIONAL HERITAGE",228360,16565
Market Theatre Foundation,"ARTS, CULTURE & NATIONAL HERITAGE",2113000,21667
Motswako Performing Artists,"ARTS, CULTURE & NATIONAL HERITAGE",570000,17839
Motswako Performing Artists,"ARTS, CULTURE & NATIONAL HERITAGE",220500,17874
Moving Into Dance Mophatong,"ARTS, CULTURE & NATIONAL HERITAGE",400000,21460
Aardklop National Arts Festival,"ARTS, CULTURE & NATIONAL HERITAGE",1880000,21618
Abalimi Bezekhaya,"ARTS, CULTURE & NATIONAL HERITAGE",328000,16934
Actors Centre,"ARTS, CULTURE & NATIONAL HERITAGE",198820,15666
African Conservation Trust,"ARTS, CULTURE & NATIONAL HERITAGE",541333,17380
African Cultural Heritage Trust,"ARTS, CULTURE & NATIONAL HERITAGE",1900000,21490
African Cultural Heritage Trust,"ARTS, CULTURE & NATIONAL HERITAGE",950000,21490
African Cultural Music and Dance Association,"ARTS, CULTURE & NATIONAL HERITAGE",500000,23110
African Cultural Music and Dance Association,"ARTS, CULTURE & NATIONAL HERITAGE",331135,23110
African Flag Pantsula,"ARTS, CULTURE & NATIONAL HERITAGE",341734,22714
Agricultural Research Council : Central Office,"ARTS, CULTURE & NATIONAL HERITAGE",930300,15632
Association for People with Disabilities & Deaf FS,"ARTS, CULTURE & NATIONAL HERITAGE",113000,15998
AREPP Educational Trust,"ARTS, CULTURE & NATIONAL HERITAGE",343749,17496
Association for People with Disabilities GP North,"ARTS, CULTURE & NATIONAL HERITAGE",151506,21696
Ballet Theatre Afrikan,"ARTS, CULTURE & NATIONAL HERITAGE",1200000,21265
Bat Centre Trust,"ARTS, CULTURE & NATIONAL HERITAGE",1135090,17845
Black Tie Ensemble,"ARTS, CULTURE & NATIONAL HERITAGE",921815,21690
Boitumelong Dance & Drama Group,"ARTS, CULTURE & NATIONAL HERITAGE",77620,16420
Border Rural Committee,"ARTS, CULTURE & NATIONAL HERITAGE",147000,17287
Breughel Teatergroep,"ARTS, CULTURE & NATIONAL HERITAGE",203600,22924
Camphill Village,"ARTS, CULTURE & NATIONAL HERITAGE",342127,21672
Cape Africa Platform,"ARTS, CULTURE & NATIONAL HERITAGE",950000,22426
Cape Heart Community & Education Theatre,"ARTS, CULTURE & NATIONAL HERITAGE",331914,23306
Cape Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",302500,21762
Cape Philharmonic Orchestra,"ARTS, CULTURE & NATIONAL HERITAGE",3296538,15628
Cape Town City Ballet,"ARTS, CULTURE & NATIONAL HERITAGE",995000,11523
Cape Town Holocaust Centre,"ARTS, CULTURE & NATIONAL HERITAGE",60000,15630
Cape Town Opera,"ARTS, CULTURE & NATIONAL HERITAGE",1000000,21387
Cape Town Opera,"ARTS, CULTURE & NATIONAL HERITAGE",866667,21387
Cederbergfees,"ARTS, CULTURE & NATIONAL HERITAGE",145410,16410
Colla Voce Choir,"ARTS, CULTURE & NATIONAL HERITAGE",253010,15657
Conquest for Life,"ARTS, CULTURE & NATIONAL HERITAGE",312000,17968
CWD (Youth Interfacing),"ARTS, CULTURE & NATIONAL HERITAGE",93969,17838
