Project,Name,Sector,Amount,total
21618,Aardklop National Arts Festival,"Arts, Culture & National Heritage",880000,1.68480624E8
16934,Abalimi Bezekhaya,"Arts, Culture & National Heritage",328000,1.68480624E8
21490,African Cultural Heritage Trust,"Arts, Culture & National Heritage",950000,1.68480624E8
21663,African Cultural Music and Dance Association,"Arts, Culture & National Heritage",331135,1.68480624E8
21663,African Cultural Music and Dance Association,"Arts, Culture & National Heritage",647187,1.68480624E8
16953,African Cultural Organisation of SA (ACOSA),"Arts, Culture & National Heritage",326823,1.68480624E8
22714,African Flag Pantsula,"Arts, Culture & National Heritage",341734,1.68480624E8
21955,Afristar Foundation,"Arts, Culture & National Heritage",407985,1.68480624E8
9933,Artist Proof Studio,"Arts, Culture & National Heritage",100000,1.68480624E8
21372,Artscape,"Arts, Culture & National Heritage",1336667,1.68480624E8
21696,Assoc for People with Disabilities Gauteng North,"Arts, Culture & National Heritage",32564,1.68480624E8
27752,Association for Autism Pretoria,"Arts, Culture & National Heritage",271722,1.68480624E8
15963,Association for Visual Arts,"Arts, Culture & National Heritage",252499,1.68480624E8
17845,Bat Centre Trust,"Arts, Culture & National Heritage",378364,1.68480624E8
16925,Beau Soleil Music for Africa Trust,"Arts, Culture & National Heritage",252636,1.68480624E8
28251,Biblionef South Africa,"Arts, Culture & National Heritage",400000,1.68480624E8
21738,Bird Life SA,"Arts, Culture & National Heritage",300000,1.68480624E8
27653,Blackboard Trust,"Arts, Culture & National Heritage",1950000,1.68480624E8
22924,Breughel Teatergroep,"Arts, Culture & National Heritage",85100,1.68480624E8
18055,Buffalo City Municipality,"Arts, Culture & National Heritage",2388270,1.68480624E8
27658,Cantare Childrens Choir,"Arts, Culture & National Heritage",756203,1.68480624E8
22426,Cape Africa Platform,"Arts, Culture & National Heritage",950000,1.68480624E8
22426,Cape Africa Platform,"Arts, Culture & National Heritage",950000,1.68480624E8
23306,Cape Heart Comm & Educ Theatre,"Arts, Culture & National Heritage",16520,1.68480624E8
28306,Cape Philharmonic Orchestra,"Arts, Culture & National Heritage",3897763,1.68480624E8
21387,Cape Town Opera,"Arts, Culture & National Heritage",1733333,1.68480624E8
17865,Cape Town Society for the Blind,"Arts, Culture & National Heritage",1500000,1.68480624E8
16371,Cape Town Womens Festival Trust,"Arts, Culture & National Heritage",90000,1.68480624E8
14841,"Central University of Technology Free
State","Arts, Culture & National Heritage",199260,1.68480624E8
17975,Centre for Creative Arts,"Arts, Culture & National Heritage",600000,1.68480624E8
17951,Centre for Creative Arts,"Arts, Culture & National Heritage",720000,1.68480624E8
28511,College of Magic,"Arts, Culture & National Heritage",549730,1.68480624E8
27779,Cultural Development Trust,"Arts, Culture & National Heritage",500000,1.68480624E8
21454,Dance for All,"Arts, Culture & National Heritage",334000,1.68480624E8
29919,De Poort Village Project,"Arts, Culture & National Heritage",1966159,1.68480624E8
15641,Dirkie Uys High School,"Arts, Culture & National Heritage",166612,1.68480624E8
13348,District Six Museum Foundation,"Arts, Culture & National Heritage",3012960,1.68480624E8
9919,District Six Museum Foundation,"Arts, Culture & National Heritage",1500000,1.68480624E8
11553,District Six Museum Foundation,"Arts, Culture & National Heritage",2740850,1.68480624E8
21373,Durban Music School,"Arts, Culture & National Heritage",450000,1.68480624E8
21642,Eastern Cape Philharmonic Society,"Arts, Culture & National Heritage",881018,1.68480624E8
16362,Ed-U-College Port Elizabeth,"Arts, Culture & National Heritage",207578,1.68480624E8
22922,Edupark,"Arts, Culture & National Heritage",1714230,1.68480624E8
30024,Eersterus Care & Training Centre,"Arts, Culture & National Heritage",117760,1.68480624E8
28212,Ekurhuleni Children’s Choir,"Arts, Culture & National Heritage",1091864,1.68480624E8
21574,Endangered Wildlife Trust,"Arts, Culture & National Heritage",1671740,1.68480624E8
21864,English Language Educational Trust,"Arts, Culture & National Heritage",189900,1.68480624E8
27510,Enlighten Education Trust,"Arts, Culture & National Heritage",191948,1.68480624E8
21717,E’skia Institute,"Arts, Culture & National Heritage",3150360,1.68480624E8
29976,Fair Trade in Tourism  SA,"Arts, Culture & National Heritage",435597,1.68480624E8
27654,Field Band Foundation,"Arts, Culture & National Heritage",2998611,1.68480624E8
17916,Food & Trees for Africa,"Arts, Culture & National Heritage",688000,1.68480624E8
11571,Fordsburg Artists Studios,"Arts, Culture & National Heritage",508257,1.68480624E8
21698,Freedom Park Trust,"Arts, Culture & National Heritage",11250000,1.68480624E8
30014,From the Hip Khulumakahle,"Arts, Culture & National Heritage",450000,1.68480624E8
27657,"Gauteng Organisation Community Art
Centres","Arts, Culture & National Heritage",1276800,1.68480624E8
17919,Graaff Reinet Museum,"Arts, Culture & National Heritage",196500,1.68480624E8
21579,Grahamstown Foundation,"Arts, Culture & National Heritage",2954820,1.68480624E8
22566,Granary Project,"Arts, Culture & National Heritage",511800,1.68480624E8
21845,Great Edendale Environmental Network,"Arts, Culture & National Heritage",406000,1.68480624E8
14856,Greatmore Studios,"Arts, Culture & National Heritage",85920,1.68480624E8
16388,Greatmore Studios,"Arts, Culture & National Heritage",260598,1.68480624E8
12793,"Greenhouse Peoples Environmental
Centre","Arts, Culture & National Heritage",391000,1.68480624E8
3871,"Greenhouse Peoples Environmental
Centre","Arts, Culture & National Heritage",647567,1.68480624E8
3876,"Greenhouse Peoples Environmental
Centre","Arts, Culture & National Heritage",1079500,1.68480624E8
21635,Hilton College Theatre (Hiltonian Society),"Arts, Culture & National Heritage",1592452,1.68480624E8
29920,Human Rights Media Trust,"Arts, Culture & National Heritage",765000,1.68480624E8
17867,Ibhabhathane Project,"Arts, Culture & National Heritage",179635,1.68480624E8
17861,"Ikhwezi Empowerment & Tender Advice
Centre","Arts, Culture & National Heritage",1386469,1.68480624E8
18529,Imbali Visual Literacy Project,"Arts, Culture & National Heritage",249500,1.68480624E8
15947,Institute for the Blind Industries,"Arts, Culture & National Heritage",200000,1.68480624E8
17875,"International Classical Music Festival of
SA","Arts, Culture & National Heritage",749100,1.68480624E8
17875,"International Classical Music Festival of
SA","Arts, Culture & National Heritage",749100,1.68480624E8
28258,Is’Baya Development Trust,"Arts, Culture & National Heritage",1133463,1.68480624E8
21292,Jazzart Dance Theatre,"Arts, Culture & National Heritage",1910144,1.68480624E8
27665,Jazzart Dance Theatre,"Arts, Culture & National Heritage",2323344,1.68480624E8
29940,Jikeleza Dance Project,"Arts, Culture & National Heritage",699000,1.68480624E8
17878,Johannesburg Festival Orchestra,"Arts, Culture & National Heritage",3000000,1.68480624E8
23466,Johannesburg Music Initiative,"Arts, Culture & National Heritage",606613,1.68480624E8
18615,Johannesburg Youth Orchestra,"Arts, Culture & National Heritage",87000,1.68480624E8
21472,Johannesburg Youth Orchestra,"Arts, Culture & National Heritage",1787432,1.68480624E8
21688,Karos & Kambro,"Arts, Culture & National Heritage",1000000,1.68480624E8
27880,Khanya College Johannesburg Trust,"Arts, Culture & National Heritage",595730,1.68480624E8
17473,Khanya Community Theatre,"Arts, Culture & National Heritage",712522,1.68480624E8
28305,Khulumani Support Group,"Arts, Culture & National Heritage",438570,1.68480624E8
12799,Khumbulani Craft,"Arts, Culture & National Heritage",107449,1.68480624E8
21810,Kungwini Welfare Organisation,"Arts, Culture & National Heritage",126815,1.68480624E8
2953,KZN Philharmonic Orchestra,"Arts, Culture & National Heritage",1133000,1.68480624E8
21714,KZN Youth Orchestra,"Arts, Culture & National Heritage",123000,1.68480624E8
13553,Lesedi La Setjhaba Welfare Organisation,"Arts, Culture & National Heritage",200000,1.68480624E8
21463,Lesheba Venda Arts & Culture Trust,"Arts, Culture & National Heritage",718494,1.68480624E8
16599,Living Heritage Association,"Arts, Culture & National Heritage",240000,1.68480624E8
15936,Magnificat  Performing Artists,"Arts, Culture & National Heritage",339546,1.68480624E8
22435,"Mama’s Brothers Community Youth
Theatre","Arts, Culture & National Heritage",775203,1.68480624E8
22435,"Mama’s Brothers Community Youth
Theatre","Arts, Culture & National Heritage",516801,1.68480624E8
21667,Market Theatre Foundation,"Arts, Culture & National Heritage",2000000,1.68480624E8
15209,MINTEK (Timbita Rural Ceramics Project),"Arts, Culture & National Heritage",1900000,1.68480624E8
27647,"Most United Knowledgeable Artists
(MUKA Project)","Arts, Culture & National Heritage",395280,1.68480624E8
17874,Motswako Performing Artists,"Arts, Culture & National Heritage",94500,1.68480624E8
21460,Moving Into Dance Mophatong,"Arts, Culture & National Heritage",600000,1.68480624E8
22993,Msunduzi Music School,"Arts, Culture & National Heritage",200000,1.68480624E8
17392,Music Academy of Gauteng,"Arts, Culture & National Heritage",2879212,1.68480624E8
9891,My Acre of Africa Trust,"Arts, Culture & National Heritage",-438826,1.68480624E8
21787,Natal Arts Trust,"Arts, Culture & National Heritage",238900,1.68480624E8
10124,Natal Blind & Deaf Society,"Arts, Culture & National Heritage",324115,1.68480624E8
29787,Natal Museum,"Arts, Culture & National Heritage",550000,1.68480624E8
17946,Nation Building Projects (Aggrey Klaaste),"Arts, Culture & National Heritage",1595722,1.68480624E8
17198,National Arts Festival Grahamstown,"Arts, Culture & National Heritage",3675000,1.68480624E8
14807,National Craft Association,"Arts, Culture & National Heritage",208918,1.68480624E8
27512,National Heritage Council,"Arts, Culture & National Heritage",7952391,1.68480624E8
21453,New Africa Theatre,"Arts, Culture & National Heritage",226579,1.68480624E8
