Project,Name,Sector,Amount
35391,Becomo Art Centre,"Arts, Culture and National Heritage",7640840
18000,Bethelsdorp Development Trust,"Arts, Culture and National Heritage",395000
28251,Biblionef South Africa,"Arts, Culture and National Heritage",134050
19138,Black Education Upgrading,"Arts, Culture and National Heritage",425000
38318,Bohlokong Choral Society,"Arts, Culture and National Heritage",400000
21894,Botanical Society of South Africa,"Arts, Culture and National Heritage",500000
28371,Botshabelo Community Development Trust,"Arts, Culture and National Heritage",1906785
29926,Breughel Teatergroep,"Arts, Culture and National Heritage",442632
37568,Burgersdorp Cultural History Museum,"Arts, Culture and National Heritage",480000
35395,Buskaid,"Arts, Culture and National Heritage",1129920
21672,Camphill Village,"Arts, Culture and National Heritage",228085
27658,Cantare Children’s Choir,"Arts, Culture and National Heritage",189051
27658,Cantare Children’s Choir,"Arts, Culture and National Heritage",472627
19212,Cape Craft & Design Institute,"Arts, Culture and National Heritage",462500
21771,Cape Educational Trust,"Arts, Culture and National Heritage",677400
21944,Cape Flats Development Association,"Arts, Culture and National Heritage",861559
38195,Cape Heart Community & Educational Theatre,"Arts, Culture and National Heritage",1649453
28306,Cape Philharmonic Orchestra,"Arts, Culture and National Heritage",6835890
29917,Cape Town Opera,"Arts, Culture and National Heritage",2622431
29917,Cape Town Opera,"Arts, Culture and National Heritage",1123899
29917,Cape Town Opera,"Arts, Culture and National Heritage",2936280
29917,Cape Town Opera,"Arts, Culture and National Heritage",1258406
21898,Castle Military Museum Foundation,"Arts, Culture and National Heritage",812638
21618,Aardklop National Arts Festival,"Arts, Culture and National Heritage",1440000
35386,Africa Resources Trust,"Arts, Culture and National Heritage",10989309
29991,African Conservation Trust,"Arts, Culture and National Heritage",10927205
27887,"African Creative Activities Development
Organisation","Arts, Culture and National Heritage",501138
35669,African Cultural Music & Dance Association,"Arts, Culture and National Heritage",3600000
21663,African Cultural Music and Dance Association,"Arts, Culture and National Heritage",647186
22714,African Flag Pantsula,"Arts, Culture and National Heritage",341732
21955,Afristar Foundation,"Arts, Culture and National Heritage",175089
29791,Alpha Omega Youth Outreach,"Arts, Culture and National Heritage",332523
17496,AREPP Educational Trust,"Arts, Culture and National Heritage",343749
34880,AREPP Educational Trust,"Arts, Culture and National Heritage",1976896
22464,Arley’s Workshop,"Arts, Culture and National Heritage",647150
29946,Artist Proof Studio,"Arts, Culture and National Heritage",556514
35235,Arts & Culture Empowering Centre,"Arts, Culture and National Heritage",240000
37972,Arts & Teaching Initiatives,"Arts, Culture and National Heritage",1368912
21372,Artscape,"Arts, Culture and National Heritage",1336666
21372,Artscape,"Arts, Culture and National Heritage",1336667
37906,Artscape,"Arts, Culture and National Heritage",970400
30015,Athlone Academy of Music,"Arts, Culture and National Heritage",816800
35148,Bat Centre Trust,"Arts, Culture and National Heritage",1857351
21898,Castle Military Museum Foundation,"Arts, Culture and National Heritage",812637
29799,CAT Conservation Trust,"Arts, Culture and National Heritage",187953
11547,Catholic Welfare & Development,"Arts, Culture and National Heritage",102810
21707,Cederbergfees,"Arts, Culture and National Heritage",830000
30019,Central Gauteng Mental Health Society,"Arts, Culture and National Heritage",154000
17970,Centre for Creative Arts,"Arts, Culture and National Heritage",1800000
38148,Centre for Rehabilitation of Wildlife,"Arts, Culture and National Heritage",1110800
17962,Chaeli Campaign,"Arts, Culture and National Heritage",270400
18417,City of Cape Town,"Arts, Culture and National Heritage",250000
16394,City of Johannesburg,"Arts, Culture and National Heritage",800000
