Name,Sector,Amount
Aardklop National Arts Festival,"ARTS, CULTURE AND NATIONAL HERITAGE",2340000
Abalimi Bezekhaya,"ARTS, CULTURE AND NATIONAL HERITAGE",328000
Africa Ignite,"ARTS, CULTURE AND NATIONAL HERITAGE",1047868
Africa Resources Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",5168600
Africa Resources Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",26627400
Africa Resources Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",7326205
African Conservation Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",7284804
"African Cultural Organisation of SA
(ACOSA)","ARTS, CULTURE AND NATIONAL HERITAGE",7106707
African Flag Pantsula,"ARTS, CULTURE AND NATIONAL HERITAGE",1807880
Africana Library Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",840464
Akanani Rural Development Association,"ARTS, CULTURE AND NATIONAL HERITAGE",3608220
Alpha Omega Youth Outreach,"ARTS, CULTURE AND NATIONAL HERITAGE",110841
"Amos/ Kgaphamadi Community
Organisation","ARTS, CULTURE AND NATIONAL HERITAGE",400000
Applied Broadcasting Centre  Ulwazi,"ARTS, CULTURE AND NATIONAL HERITAGE",144000
AREPP Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1281028
Arley's Workshop,"ARTS, CULTURE AND NATIONAL HERITAGE",300200
Artists United Forum,"ARTS, CULTURE AND NATIONAL HERITAGE",430914
Arts & Culture Empowering Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",292000
Arts & Culture Empowering Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",160000
Arts & Teaching Initiatives,"ARTS, CULTURE AND NATIONAL HERITAGE",342228
Arts & Teaching Initiatives,"ARTS, CULTURE AND NATIONAL HERITAGE",485050
Arts & Ubuntu Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",2138496
Arts & Ubuntu Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",534624
Arts & Ubuntu Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",451635
Association for Autism Pretoria,"ARTS, CULTURE AND NATIONAL HERITAGE",181148
Athlone Academy of Music,"ARTS, CULTURE AND NATIONAL HERITAGE",544550
Bat Centre Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",400840
Bat Centre Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1498234
Bethesda Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",659200
Big Fish School of Digital Film Making,"ARTS, CULTURE AND NATIONAL HERITAGE",16287751
Bird Life SA,"ARTS, CULTURE AND NATIONAL HERITAGE",436646
Bird Life SA,"ARTS, CULTURE AND NATIONAL HERITAGE",109161
"Bishopscourt Village Residents
Association","ARTS, CULTURE AND NATIONAL HERITAGE",164370
Black Education Upgrading,"ARTS, CULTURE AND NATIONAL HERITAGE",425000
Black Tie Ensemble,"ARTS, CULTURE AND NATIONAL HERITAGE",3287795
Blackboard Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1300000
Blackboard Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",2910000
Bohlokong Choral Society,"ARTS, CULTURE AND NATIONAL HERITAGE",100000
"Botshabelo Community Development
Trust","ARTS, CULTURE AND NATIONAL HERITAGE",11632311
Breughel Teatergroep,"ARTS, CULTURE AND NATIONAL HERITAGE",208238
Buhlebethu Art & Culture Organisation,"ARTS, CULTURE AND NATIONAL HERITAGE",598258
Built Environment Support Group,"ARTS, CULTURE AND NATIONAL HERITAGE",1244298
Business & Arts South Africa,"ARTS, CULTURE AND NATIONAL HERITAGE",183000
Cantare Childrens Choir,"ARTS, CULTURE AND NATIONAL HERITAGE",472627
Cape Africa Platform,"ARTS, CULTURE AND NATIONAL HERITAGE",1600000
"Cape Education Trust - Early Learning
Resource Unit","ARTS, CULTURE AND NATIONAL HERITAGE",451600
Cape Flats Development Association,"ARTS, CULTURE AND NATIONAL HERITAGE",861558
"Cape Heart Community & Education
Theatre","ARTS, CULTURE AND NATIONAL HERITAGE",412363
Cape Leopard Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",545800
Cape Philharmonic Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",2824921
Cape Philharmonic Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE",3623596
Cape Town Opera,"ARTS, CULTURE AND NATIONAL HERITAGE",7746500
Cape West Coast Biosphere Reserve,"ARTS, CULTURE AND NATIONAL HERITAGE",1450000
Castle Military Museum Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",5361512
Castle Military Museum Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",3574340
CAT Conservation Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",125302
Cederbergfees,"ARTS, CULTURE AND NATIONAL HERITAGE",830000
Central Johannesburg Partnership,"ARTS, CULTURE AND NATIONAL HERITAGE",4651641
Central Johannesburg Partnership,"ARTS, CULTURE AND NATIONAL HERITAGE",1162910
Chaeli Campaign,"ARTS, CULTURE AND NATIONAL HERITAGE",67600
Chaeli Campaign,"ARTS, CULTURE AND NATIONAL HERITAGE",1445000
"Child & Family Welfare Society,
Kempton Park","ARTS, CULTURE AND NATIONAL HERITAGE",2479200
"Children & Broadcasting Foundation for
Africa","ARTS, CULTURE AND NATIONAL HERITAGE",600000
Citrusdal Advice Office,"ARTS, CULTURE AND NATIONAL HERITAGE",373920
City of Cape Town,"ARTS, CULTURE AND NATIONAL HERITAGE",250000
City of Johannesburg,"ARTS, CULTURE AND NATIONAL HERITAGE",11757169
City of Johannesburg,"ARTS, CULTURE AND NATIONAL HERITAGE",530784
City of Johannesburg,"ARTS, CULTURE AND NATIONAL HERITAGE",8259632
C-Kruis Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1140138
"Colla Voce Choir - Ekurhuleni Youth
Choir","ARTS, CULTURE AND NATIONAL HERITAGE",2278768
College of Magic,"ARTS, CULTURE AND NATIONAL HERITAGE",503327
"Committed Artists for Cultural
Advancement","ARTS, CULTURE AND NATIONAL HERITAGE",7110414
Community & Prison Organisation,"ARTS, CULTURE AND NATIONAL HERITAGE",105360
Community Health Media,"ARTS, CULTURE AND NATIONAL HERITAGE",1281672
Cultural Development Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",560020
Cultural Development Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",865065
Curriculum Development Project,"ARTS, CULTURE AND NATIONAL HERITAGE",517917
Dance for All,"ARTS, CULTURE AND NATIONAL HERITAGE",730918
Dance for All,"ARTS, CULTURE AND NATIONAL HERITAGE",2634761
De Poort Village Project,"ARTS, CULTURE AND NATIONAL HERITAGE",491540
Deaf Community of Cape Town,"ARTS, CULTURE AND NATIONAL HERITAGE",799680
Deaf Community of Cape Town,"ARTS, CULTURE AND NATIONAL HERITAGE",536912
Delta Environmental Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",406120
Delta Environmental Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",406120
District Six Museum Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",5550741
Domestic Violence Help Line,"ARTS, CULTURE AND NATIONAL HERITAGE",177400
Dramatists Against Crime,"ARTS, CULTURE AND NATIONAL HERITAGE",629850
Duduza Serenade Youth Development,"ARTS, CULTURE AND NATIONAL HERITAGE",112834
Durban Black Drifters,"ARTS, CULTURE AND NATIONAL HERITAGE",350800
Durban Black Drifters,"ARTS, CULTURE AND NATIONAL HERITAGE",87700
Durban Institute of Technology,"ARTS, CULTURE AND NATIONAL HERITAGE",12164785
Durban Institute of Technology,"ARTS, CULTURE AND NATIONAL HERITAGE",18247175
Durban Music School,"ARTS, CULTURE AND NATIONAL HERITAGE",2843421
Durban Music School,"ARTS, CULTURE AND NATIONAL HERITAGE",11435468
Durban Music School,"ARTS, CULTURE AND NATIONAL HERITAGE",156990
Duzi-Umngeni Conservation Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",8000000
Early Learning Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",2843000
Earthlife Africa Johannesburg,"ARTS, CULTURE AND NATIONAL HERITAGE",793600
East London Museum Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",128622.96
Eastern Cape Philharmonic Society,"ARTS, CULTURE AND NATIONAL HERITAGE",220666
Eastern Cape Philharmonic Society,"ARTS, CULTURE AND NATIONAL HERITAGE",4484144
Eastern Wetland Rehabilitation,"ARTS, CULTURE AND NATIONAL HERITAGE",1260000
Eco-Access,"ARTS, CULTURE AND NATIONAL HERITAGE",2155600
Education Alive,"ARTS, CULTURE AND NATIONAL HERITAGE",1235017
Educo Trust of Africa,"ARTS, CULTURE AND NATIONAL HERITAGE",89042
Educo Trust of Africa,"ARTS, CULTURE AND NATIONAL HERITAGE",120161
Edupark,"ARTS, CULTURE AND NATIONAL HERITAGE",1142820
Eersterus Care & Training Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",29440
Elgin Learning Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE",1432402
Endangered Wildlife Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1411930
Endangered Wildlife Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",1411930
English Language Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE",107783
Environmental Monitoring Group,"ARTS, CULTURE AND NATIONAL HERITAGE",498000
Eoan Group,"ARTS, CULTURE AND NATIONAL HERITAGE",4224800
EPSAC Community Art Centre,"ARTS, CULTURE AND NATIONAL HERITAGE",449760
Es'kia Institute,"ARTS, CULTURE AND NATIONAL HERITAGE",13620218
