Project Number,Name,Province,Sector,Amount
45622,Afesis-Corplan,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",9172896
42093,Arts and Teaching Initiatives,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",516000
41965,Bethesda Foundation South Africa,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",164800
42040,EPSAC Community Art Centre,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",299840
21579,"Grahamstown Foundation, Arts Education  Department",EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",1932751
17861,Ikhwezi Empowerment And Tender Service Centre,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",231078
30020,Landmark Foundation Trust,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",847500
44930,Mehloding Community Tourism Trust,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",599920
41274,National Arts Festival Grahamstown,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",7152597
44336,Nkosi Ngangomhlaba Development Trust,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",1733687
46180,Rural Support Services (RSS),EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",1095480
35134,Sa College For Tourism,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",1127821
35134,Sa College For Tourism,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",1691731
43153,"Southern Africa Development, Research And Training Institute",EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",1446912
29797,Transkei Land Service Organisation,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",427160
29798,"UBOM! Eastern Cape Drama Company, University Of Rhodes",EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",375000
35118,Walter Sisulu University,EASTERN CAPE,"ARTS, CULTURE & NATIONAL HERITAGE",5919237
44716,Action Group For Children In Distress,EASTERN CAPE,CHARITIES,361535
51089,ACVV Aberdeen,EASTERN CAPE,CHARITIES,997606
43947,ACVV Cradock,EASTERN CAPE,CHARITIES,1738750
49921,ACVV Kirkwood,EASTERN CAPE,CHARITIES,565150
45707,ACVV Middelburg Eastern Cape,EASTERN CAPE,CHARITIES,444650
43954,ACVV Port Elizabeth Wes,EASTERN CAPE,CHARITIES,3257978
49640,Algoa Bay Council For The Aged,EASTERN CAPE,CHARITIES,940500
52728,Aliwal North Child And Family Welfare Society,EASTERN CAPE,CHARITIES,200000
44371,Amatola HIV/Aids And STD's Project,EASTERN CAPE,CHARITIES,723600
50010,Association For The Physically Disabled - EC - P.E. Region,EASTERN CAPE,CHARITIES,385000
42688,Autism Eastern Cape,EASTERN CAPE,CHARITIES,180817
50008,B.K.S.B. Centenary Memorial Company T/A Kingsholme,EASTERN CAPE,CHARITIES,700496
51347,Bet Sheekoom,EASTERN CAPE,CHARITIES,336129
50080,Blue Crane Hospice Association,EASTERN CAPE,CHARITIES,178631
50080,Blue Crane Hospice Association,EASTERN CAPE,CHARITIES,178631
45313,Butterworth Tembalethu Child & Family Welfare,EASTERN CAPE,CHARITIES,454950
49908,Camdeboo Hospice,EASTERN CAPE,CHARITIES,538200
44168,Catholic Development Centre,EASTERN CAPE,CHARITIES,1313640
45287,Child Welfare South Africa - Matatiele,EASTERN CAPE,CHARITIES,469000
44755,Child Welfare South Africa: Humansdorp,EASTERN CAPE,CHARITIES,1100553
50993,Christelike Maatskaplike Raad Van Die Drakensberg,EASTERN CAPE,CHARITIES,228500
44606,Christelike Maatskaplike Raad Van Oos-London,EASTERN CAPE,CHARITIES,496237
52179,Christelike Maatskaplike Raad Van  King William's Town,EASTERN CAPE,CHARITIES,149000
53394,Christelike Maatskaplike Raad Van Burgersdorp,EASTERN CAPE,CHARITIES,196814
42790,Christelike Maatskaplike Raad Van Die Ring Van Sondagsrivier,EASTERN CAPE,CHARITIES,697447
44597,Christelike Maatskaplike Raad Vir Die Ring Van Graaff Reinet,EASTERN CAPE,CHARITIES,237201
42404,Cingela Centre For The Elderly,EASTERN CAPE,CHARITIES,488957
44710,Cleary  Estate Cheshire Home,EASTERN CAPE,CHARITIES,388000
45315,Community Resources And Legal Advice Centre,EASTERN CAPE,CHARITIES,361000
41525,Cornerstone Training Centre,EASTERN CAPE,CHARITIES,105839
45330,Cradock After Care School Development Forum,EASTERN CAPE,CHARITIES,185000
43946,Cradock Kinder - en Gesinsorgvereniging,EASTERN CAPE,CHARITIES,968540
50657,D.J. Sobey Home For The Aged,EASTERN CAPE,CHARITIES,250000
42268,Daily Bread Outreach,EASTERN CAPE,CHARITIES,258323
50318,Die Gert Greeff Tehuis,EASTERN CAPE,CHARITIES,339296
49686,Dimbaza Society For The Aged,EASTERN CAPE,CHARITIES,370197
44653,Domestic Violence  Unit,EASTERN CAPE,CHARITIES,360648
45248,East London Child And Family Welfare Society,EASTERN CAPE,CHARITIES,1202969
50632,East London Senior Citizens Association,EASTERN CAPE,CHARITIES,776555
50341,East London SPCA,EASTERN CAPE,CHARITIES,355486
53680,Eastern Cape NGO Coalition,EASTERN CAPE,CHARITIES,291600
41208,Echo Foundation,EASTERN CAPE,CHARITIES,2314758
35344,Empilweni Home,EASTERN CAPE,CHARITIES,1963603
51403,Ethembeni Old Age Home,EASTERN CAPE,CHARITIES,729905
31532,Ezibeleni Moravian Church Day Care Centre,EASTERN CAPE,CHARITIES,25000
44778,Faith And Hope Integrated Aids Programme,EASTERN CAPE,CHARITIES,1440292
44857,Families South Africa Border,EASTERN CAPE,CHARITIES,980059
49676,Family Restoration Services,EASTERN CAPE,CHARITIES,374000
49676,Family Restoration Services,EASTERN CAPE,CHARITIES,374000
44448,Fort Beaufort Child & Family Welfare Society,EASTERN CAPE,CHARITIES,390939
41079,Good Samaritan Child And Youth Care Centre,EASTERN CAPE,CHARITIES,1109794
50279,Good Shepherd Hospice,EASTERN CAPE,CHARITIES,326500
50597,Grahamstown Amasango Career School,EASTERN CAPE,CHARITIES,125000
45454,Grahamstown Area Distress Relief Association,EASTERN CAPE,CHARITIES,65322
49776,Grahamstown Child & Family Welfare Society,EASTERN CAPE,CHARITIES,514550
49717,Grahamstown Hospice Service,EASTERN CAPE,CHARITIES,660000
44713,Grahamstown Society For Marriage  and Family Life,EASTERN CAPE,CHARITIES,459000
44726,Help Our People Excel (HOPE) Foundation,EASTERN CAPE,CHARITIES,420700
49614,Hospice Association Of Transkei,EASTERN CAPE,CHARITIES,664368
45247,Huis John Vorster,EASTERN CAPE,CHARITIES,552081
50200,Huis Louisa Meyburgh,EASTERN CAPE,CHARITIES,400000
50002,Huis Welverdiend,EASTERN CAPE,CHARITIES,463000
52505,Ikamv'elihle Rehabilitation Centre,EASTERN CAPE,CHARITIES,230093
49723,Ikhwezi Lokusa Rehabilitation And Development Society,EASTERN CAPE,CHARITIES,1040000
45456,Imbewu Community Volunteers,EASTERN CAPE,CHARITIES,547488
45274,Jabez Aids Health Centre,EASTERN CAPE,CHARITIES,250000
49698,Kenton Boesmans Child and Family Welfare Society,EASTERN CAPE,CHARITIES,93500
44861,King William's Town Child & Youth Care Centre,EASTERN CAPE,CHARITIES,1357500
49747,Lady Grey Community Based Organisation,EASTERN CAPE,CHARITIES,687000
49964,Lake Farm Centre Aid Association,EASTERN CAPE,CHARITIES,280000
44610,Leisure Homes for Senior Citizens - Langham House,EASTERN CAPE,CHARITIES,169895
52039,Loaves And Fishes Network,EASTERN CAPE,CHARITIES,319975
45088,Lusikisiki Paralegal Advice Centre,EASTERN CAPE,CHARITIES,513600
40773,Luthando Centre,EASTERN CAPE,CHARITIES,32450
50004,Luthando Centre,EASTERN CAPE,CHARITIES,97308
44345,Maqhinebeni / Cezu Family And Community Motivators Project,EASTERN CAPE,CHARITIES,265750
49803,Masibambane Disabled Association,EASTERN CAPE,CHARITIES,1128652
52239,Masibonisane Service Centre For The Aged,EASTERN CAPE,CHARITIES,201300
53767,Masizakhe Community Development Project,EASTERN CAPE,CHARITIES,274800
44725,Mount Fletcher Cheshire Home,EASTERN CAPE,CHARITIES,565000
45433,Mt Fletcher Advice Centre,EASTERN CAPE,CHARITIES,491600
44873,Mthatha SPCA,EASTERN CAPE,CHARITIES,444721
42558,Nazareth House,EASTERN CAPE,CHARITIES,125513
49684,Nkosinathi Foundation of & for Blind & Partially Sighted People,EASTERN CAPE,CHARITIES,981194
49668,Oosterland Youth Centre,EASTERN CAPE,CHARITIES,368000
42823,Operation Smile Madiba Bay,EASTERN CAPE,CHARITIES,411455
44560,Peddie Development Centre,EASTERN CAPE,CHARITIES,628000
44346,Port Alfred Benevolent Society,EASTERN CAPE,CHARITIES,651040
45358,Port Alfred Child and Family Welfare Society,EASTERN CAPE,CHARITIES,1230421
49658,Port Elizabeth Childline and Family Centre,EASTERN CAPE,CHARITIES,1420000
45710,Port Elizabeth Deaf Association,EASTERN CAPE,CHARITIES,569000
45210,Port St. Johns Community Legal Advice Centre,EASTERN CAPE,CHARITIES,77650
45210,Port St. Johns Community Legal Advice Centre,EASTERN CAPE,CHARITIES,77650
44985,President's Award for Youth Empowerment,EASTERN CAPE,CHARITIES,460000
45474,Project For Conflict Resolution and Development,EASTERN CAPE,CHARITIES,599000
41918,Queenstown Benevolent and Child Welfare Society,EASTERN CAPE,CHARITIES,999477
42383,Raphael Support and Skills Development Organisation,EASTERN CAPE,CHARITIES,359000
44626,Retina South Africa (Eastern Cape  Branch),EASTERN CAPE,CHARITIES,392830
43599,Salem Baby Care Centre,EASTERN CAPE,CHARITIES,427050
42030,SANCA Central Eastern Cape,EASTERN CAPE,CHARITIES,2124697
33761,SANTA - Eastern Cape,EASTERN CAPE,CHARITIES,307143
43168,SANTA - Eastern Cape,EASTERN CAPE,CHARITIES,1305790
44559,SANTA Port Elizabeth,EASTERN CAPE,CHARITIES,300000
42495,Sihlangene Project,EASTERN CAPE,CHARITIES,103850
50440,Sihlangene Project,EASTERN CAPE,CHARITIES,136678
50457,Sinethemba Home Based Care,EASTERN CAPE,CHARITIES,447600
53537,Sive-Nathi Licensed Home for Children,EASTERN CAPE,CHARITIES,537312
45085,Siyakhana Youth Outreach and Educational Programme Trust,EASTERN CAPE,CHARITIES,998000
49940,Somerset East Child and Family Welfare Society,EASTERN CAPE,CHARITIES,316972
45385,"SPCA Assissi, Humansdorp, Jeffreys Bay, St. Francis Bay &
District",EASTERN CAPE,CHARITIES,150000
50707,St Francis Hospice Association,EASTERN CAPE,CHARITIES,250000
