Project Number,Name,Sector,Province,Amount
56223,ALBANY MUSEUM,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,627144
56391,ARKWORK FOR ART,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,400000
55870,ARTS AND TEACHING INITIATIVES,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,492900
55436,BELGRAVIA ART CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,797155
56134,BORDER RURAL COMMITTEE,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,539700
55091,CATHOLIC DEVELOPMENT CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,3001194
54878,DESPATCH HIGH SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,658866
41464,EASTERN CAPE PHILHARMONIC SOCIETY,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,5271611
56430,GEORGE RANDELL HIGH SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,158848
59451,GRAHAMSTOWN FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,2448364
56163,HOERLANDBOUSKOOL MARLOW,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,306337
56266,IMPUMELELO DEVELOPMENT PROJECT,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,400051
56366,KEISKAMMA ART PROJECT TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,1485120
38556,MANDELA BAY DEVELOPMENT AGENCY,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,3472000
59162,MASIMANYANE WOMEN'S SUPPORT GROUP,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,141385
35338,NELSON MANDELA METROPOLITAN UNIVERSITY,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,119700
44336,NKOSI NGANGOMHLABA DEVELOPMENT TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,1213580
56429,PRESIDENT PRIMARY SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,130000
56688,RAPSTI TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,364800
51076,ROBERT MANGALISO SOBUKWE TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,4357600
35134,SA COLLEGE FOR TOURISM,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,1127821
55364,SID FOURIE TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,1017378
55746,SOUTH END MUSEUM TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,3100015
43153,SOUTHERN AFRICA DEV RESEARCH & TRAINING INST,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,1350694
55601,STIRLING HIGH SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,1000000
29797,TRANSKEI LAND SERVICE ORGANISTION,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,410538
29798,"UBOM! EASTERN CAPE DRAMA COMPANY, RHODES UNI DRAMA DEPT","ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,375000
41437,UMTHATHI TRAINING PROJECT TRUST,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,312490
29927,UNIVERSITY OF FORT HARE AUDIO VISUAL PRODUCTION CENTRE,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,4400000
56433,WEST BANK HIGH SCHOOL,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,238262
11145,WILDERNESS FOUNDATION,"ARTS, CULTURE & NATIONAL HERITAGE",EASTERN CAPE,128400
56161,ASOKA INDIGENOUS KNOWLEDGE SYSTEMS,"ARTS, CULTURE & NATIONAL HERITAGE",FREE STATE,556200
