Project Number,Province,Sector,Name,Amount
56544,EASTERN CAPE,ARTS,Wilderness Foundation,926395.2
41464,EASTERN CAPE,ARTS,Eastern Cape Philharmonic Society,5901311.99
55436,EASTERN CAPE,ARTS,Belgravia Art Centre,199288.87
35134,EASTERN CAPE,ARTS,SA College for Tourism,1691731.0
56266,EASTERN CAPE,ARTS,Impumelelo Craft Development Project,266701.0
56574,EASTERN CAPE,ARTS,Amathole Museum,717129.1
56694,EASTERN CAPE,ARTS,Port Elizabeth Mental Health,102715.0
55364,EASTERN CAPE,ARTS,Sid Fourie Trust (Jansenville Museum),678252.0
72553,EASTERN CAPE,ARTS,National Arts Festival Grahamstown,9208200.0
56426,EASTERN CAPE,ARTS,Gamtobakwa Khoisan Council,384371.2
42093,EASTERN CAPE,ARTS,Arts & Teaching Initiatives,457250.0
44336,EASTERN CAPE,ARTS,Nkosi Ngangomhlaba Development Trust,2831688.0
55441,EASTERN CAPE,ARTS,S.A.D.S(Stutterheim Amateur Dramatic Society),490268.97
22887,EASTERN CAPE,ARTS,Early Learning Centre,2843000.0
45622,EASTERN CAPE,ARTS,Afesis Corplan,1.3759345E7
46092,EASTERN CAPE,ARTS,Rhodes University (UBOM! EC Drama Co),1483860.0
55870,EASTERN CAPE,ARTS,Arts & Teaching Initiatives,328600.0
17406,EASTERN CAPE,ARTS,Eastern Cape Arts & Culture Council,164250.0
37568,EASTERN CAPE,ARTS,Burgersdorp Cultural History Museum,120000.0
56444,EASTERN CAPE,ARTS,Rural Support Services,570000.0
56427,EASTERN CAPE,ARTS,Ikhwezi Empowerment & Tender Advice Centre,1228704.0
56384,EASTERN CAPE,ARTS,Kwebulana School,1000000.0
56392,EASTERN CAPE,ARTS,Graaff Reinet Museum,1111920.0
56412,EASTERN CAPE,ARTS,Laerskool Nahoon,867757.0
35134,EASTERN CAPE,ARTS,SA College for Tourism,1127821.0
44930,EASTERN CAPE,ARTS,Mehloding Community Tourism Trust,149980.0
56163,EASTERN CAPE,ARTS,Marlow Agriculture High School,76584.3
43851,EASTERN CAPE,ARTS,Keiskamma Art Project Trust,594000.0
29797,EASTERN CAPE,ARTS,TRALSO,273692.0
56223,EASTERN CAPE,ARTS,Albany Museum,156786.32
67564,EASTERN CAPE,CHARITIES,Ibhabhathane Community Centre,105500.0
59508,EASTERN CAPE,CHARITIES,Langa Kwanobuhle Self Help & Resource Exchange,1299792.0
56906,EASTERN CAPE,CHARITIES,Jerusalem Ministries,808559.0
52164,EASTERN CAPE,CHARITIES,ACVV Somerset East,301560.0
51721,EASTERN CAPE,CHARITIES,CMR van die Ring van Uitenhage,457102.0
58790,EASTERN CAPE,CHARITIES,ACVV Graaff Reinet,422656.0
