Project Number,Sector,Province,Name,Amount
56441,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Inxuba Yethemba Municipality,2187240.96
56429,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,President Primary School,109632.0
55441,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Sutterheim Amateur Dramatic Society,54474.33
56694,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Port Elizabeth Mental Health,68476.0
55746,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,South End Museum Trust,775004.0
72954,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Port Alfred High School,200000.0
56423,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Bethesda Foundation,750000.0
73492,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Artwork for Art,992360.0
43153,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Southern Africa Dev Research & Training Inst,1202394.0
43857,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Arts and Print Media Development Centre,447390.0
45986,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Association for the Physically Disabled: PE Region,1528507.8
55319,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Cat Conservation Trust,540000.0
55601,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Stirling High School,1000000.0
55877,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Sinakho Trust,138276.0
56427,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Ikhwezi Empowerment & Tender Advice Centre,307176.0
56544,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Wilderness Foundation,231598.8
72948,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Voorbereidingskool Cradock,709094.35
73492,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Artwork for Art,992358.5
73717,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Port St Johns Community Legal Advice Centre,950000.0
73982,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Royal School of Church Music(EC Branch),724554.0
73994,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Retina South Africa,1328248.63
74603,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Nowisile Primary Junior Secondary School,482543.14
74649,"ARTS, CULTURE AND NATIONAL HERITAGE",EASTERN CAPE,Gungubele Primary Junior Secondary School,349999.27
13713,CHARITIES,EASTERN CAPE,Thatcher Home,527064.0
66052,CHARITIES,EASTERN CAPE,Animal Outreaches,136700.0
57905,CHARITIES,EASTERN CAPE,Khanyisani HIV/AIDS Awareness Organisation,365313.0
40952,CHARITIES,EASTERN CAPE,South African Sea Cadets,141922.0
50465,CHARITIES,EASTERN CAPE,Tembelitsha Rehab Centre,1033419.0
70178,CHARITIES,EASTERN CAPE,Ethembeni Old Age Home,529000.0
69635,CHARITIES,EASTERN CAPE,Amatola Haven Old Age Home,250000.0
51389,CHARITIES,EASTERN CAPE,Family Voluntary Services,85636.0
66772,CHARITIES,EASTERN CAPE,Masifunde Siphuhlisa Umfundi  NPC,175500.0
69546,CHARITIES,EASTERN CAPE,ACVV PE Noord,271500.0
69890,CHARITIES,EASTERN CAPE,Sophumelela Clinic,370000.0
57734,CHARITIES,EASTERN CAPE,Daily Bread Charitable Trust,1147760.0
70084,CHARITIES,EASTERN CAPE,Raphael Support & Skills Development Org,438500.0
44838,CHARITIES,EASTERN CAPE,Kenton Bushmans Child & Family Welfare Soc,488642.0
71841,CHARITIES,EASTERN CAPE,Gert Greeff Tehuis,398043.0
69406,CHARITIES,EASTERN CAPE,ACVV Graaff-Reinet,468124.0
69768,CHARITIES,EASTERN CAPE,CMSL Community Trust,163000.0
69763,CHARITIES,EASTERN CAPE,Popeye's Daycare Centre,88370.0
65997,CHARITIES,EASTERN CAPE,Iliso Project,255493.0
69974,CHARITIES,EASTERN CAPE,D J Sobey Home for the Aged,242000.0
66745,CHARITIES,EASTERN CAPE,Cornerstone Training Centre,691503.0
69845,CHARITIES,EASTERN CAPE,Mabubuye Ubuntu Community Project,163259.0
54215,CHARITIES,EASTERN CAPE,Angus Gillis Charitable Trust,691381.0
65615,CHARITIES,EASTERN CAPE,Morning Star Day & After Care Centre,204000.0
66031,CHARITIES,EASTERN CAPE,Cookhouse Children Foundation,434250.0
57721,CHARITIES,EASTERN CAPE,Mpumakapa Multi-Purpose Education Centre,251085.0
57939,CHARITIES,EASTERN CAPE,Gwebindlala HIV/AIDS Organisation,518706.0
51379,CHARITIES,EASTERN CAPE,ACVV Dordrecht,201572.0
71432,CHARITIES,EASTERN CAPE,Madeira Home Housing Utility Company,225000.0
67593,CHARITIES,EASTERN CAPE,Grahamstown TB Care Society,736275.0
71129,CHARITIES,EASTERN CAPE,Umtata Child & Family Welfare Society,628884.0
70056,CHARITIES,EASTERN CAPE,Good Samaritan Child & Youth Care Centre,955146.0
70079,CHARITIES,EASTERN CAPE,VALK(Voorkoming Afhanklikheid in die Landkloof),300000.0
70194,CHARITIES,EASTERN CAPE,Eastern Cape Provincial Council for Persons with Disabilities,161000.0
74440,CHARITIES,EASTERN CAPE,Catch Projects,429000.0
70953,CHARITIES,EASTERN CAPE,Help Our People Excel (Hope) Foundation,410497.0
70078,CHARITIES,EASTERN CAPE,Sinethemba Organisation,282105.0
69347,CHARITIES,EASTERN CAPE,Eastern Cape NGO Coalition,798900.0
70068,CHARITIES,EASTERN CAPE,East London Senior Citizens Association,100000.0
70064,CHARITIES,EASTERN CAPE,Haven Wellness Centre,589600.0
69774,CHARITIES,EASTERN CAPE,ACVV Middelburg,756625.0
70288,CHARITIES,EASTERN CAPE,Port Alfred Upliftment and Development Centre,551100.0
70023,CHARITIES,EASTERN CAPE,Sterkspruit Victim Support Centre,87350.0
69564,CHARITIES,EASTERN CAPE,Graaff-Reinet SPCA,72646.0
70049,CHARITIES,EASTERN CAPE,Thembelihle Home,990900.0
70867,CHARITIES,EASTERN CAPE,Star Uplifting Centre,770000.0
52501,CHARITIES,EASTERN CAPE,ACVV Uitenhage,72000.0
66691,CHARITIES,EASTERN CAPE,The Ark Day Care Centre for Disabled Children,400000.0
69900,CHARITIES,EASTERN CAPE,Ncedisizwe Hewu Home Based Care Project,200600.0
70707,CHARITIES,EASTERN CAPE,Nazareth House Port Elizabeth,100000.0
70190,CHARITIES,EASTERN CAPE,Christelik Maatskaplike Raad van die Ned Geref Kerk,151945.0
72380,CHARITIES,EASTERN CAPE,Khanyisa Day Care Centre,385300.0
71426,CHARITIES,EASTERN CAPE,SPCA Umtata,831500.0
67661,CHARITIES,EASTERN CAPE,Mount Fletcher Cheshire Home,218000.0
54472,CHARITIES,EASTERN CAPE,Noluthando Junior Secondary School,385663.0
50989,CHARITIES,EASTERN CAPE,Goodwill Safety Shelter,220224.0
70410,CHARITIES,EASTERN CAPE,Huis Louisa Meyburgh,100000.0
66186,CHARITIES,EASTERN CAPE,"Rehabilitate, Employment and Accommodation Charitable Centre REACH",117640.0
53613,CHARITIES,EASTERN CAPE,Maranatha,887296.0
