Province,Sector,Project Number,Name,Amount
EASTERN CAPE,ARTS,29936,Victoria Girls High School,800000.0
EASTERN CAPE,ARTS,43851,Keiskamma Art Project Trust,396000.0
EASTERN CAPE,ARTS,45986,Assoc for the Physically Disabled Port Elizabeth Region,1019005.2
EASTERN CAPE,ARTS,46180,Rural Support Services,272870.0
EASTERN CAPE,ARTS,54878,Despatch High School,439244.19
EASTERN CAPE,ARTS,55091,Catholic Development Centre,750298.6
EASTERN CAPE,ARTS,55319,Cat Conservation Trust,360000.0
EASTERN CAPE,ARTS,56134,Border Rural Committee,359800.0
EASTERN CAPE,ARTS,56366,Keiskamma Trust,371280.0
EASTERN CAPE,ARTS,56384,Kwebulana School,1000000.0
EASTERN CAPE,ARTS,56391,Artwork For Art,150800.59
EASTERN CAPE,ARTS,56412,Laerskool Nahoon,216940.0
EASTERN CAPE,ARTS,56426,Gamtobakwa Khoisan Council,96092.8
EASTERN CAPE,ARTS,56430,George Randell High School,39712.0
EASTERN CAPE,ARTS,56574,Amathole Museum,478086.0
EASTERN CAPE,ARTS,72818,The Swallows Foundation South Africa,900000.0
EASTERN CAPE,ARTS,73023,Action Group for Children in Distress,1200000.0
EASTERN CAPE,ARTS,73034,African Footprints of Hope Organisation,600000.0
EASTERN CAPE,ARTS,73181,South End Museum Trust,1981460.56
EASTERN CAPE,ARTS,73416,Arts & Teaching Initiatives,570000.0
EASTERN CAPE,ARTS,73438,Zingisa Educational Project,300000.0
EASTERN CAPE,ARTS,73641,The Swallows Foundation South Africa,3000000.0
EASTERN CAPE,ARTS,73661,Opera House,1600000.0
EASTERN CAPE,ARTS,73786,Intervolve NPC,300000.0
EASTERN CAPE,ARTS,73821,Donald Woods Foundation Reserve,3451333.6
EASTERN CAPE,ARTS,73828,Catholic Development Centre,760000.0
EASTERN CAPE,ARTS,73867,S'Hlangene Dangers,270000.0
EASTERN CAPE,ARTS,73868,Eastern Cape Philharmonic Society,570000.0
EASTERN CAPE,ARTS,73879,Burgersdorp Cultural History Museum,50000.0
EASTERN CAPE,ARTS,73992,Victoria Park Primary School,199980.0
EASTERN CAPE,ARTS,74307,Middleburg High School,192033.46
EASTERN CAPE,ARTS,74337,Masifunde Siphuhlisa Umfundi  NPC,293142.3
EASTERN CAPE,ARTS,74389,Edu-College Port Elizabeth,300000.0
EASTERN CAPE,ARTS,74596,Sinakho Trust,3440000.0
EASTERN CAPE,ARTS,74659,Umthathi Training Projects Trust,210000.0
EASTERN CAPE,ARTS,74660,Cookhouse Children Foundation,1853549.0
EASTERN CAPE,ARTS,74663,South Africa College for Tourism,900000.0
EASTERN CAPE,ARTS,74665,Jerusalem Ministries,1452000.0
EASTERN CAPE,ARTS,74676,Hudson Park High School,570000.0
EASTERN CAPE,ARTS,74682,Hlalanathi Pensioners Project,261277.6
EASTERN CAPE,ARTS,74690,Lovedale Public FET College,570000.0
EASTERN CAPE,ARTS,74693,College Street Primary School,570000.0
EASTERN CAPE,ARTS,86390,Ingomso Film Skills And Youth Development,4999203.2
