Province,Name,Amount
WESTERN CAPE,COMMUNITY WOMAN ACTION,88000.00
WESTERN CAPE,"UNION INTERNATIONAL DE LA MARIONETTE, SOUTH AFRICA",251000.00
GAUTENG,COTLANDS,940000.00
GAUTENG,AMT COMMUNITY DEVELOPMENT,231000.00
GAUTENG,CROWN OF GLORY MISSION,200500.00
GAUTENG,SENZOKUHLE DAY CARE CENTRE,135000.00
GAUTENG,NOORDEGESIG EVANGELISTIC LIFE SKILLS AND DEVELOPMENT,120500.00
LIMPOPO,BOPHELO PELE COMMUNITY DEVELOPMENT,111500.00
LIMPOPO,TSHANDAMA/LIKAU DROP IN CENTRE,163300.00
LIMPOPO,NONCEBO COMMUNITY DEVELOPMENT,190322.00
LIMPOPO,NHLAHLE N DAY CARE CENTRE /CRECRE,84000.00
LIMPOPO,THUSANANG DROP IN CENTRE,88504.00
NORTH WEST,ITHUTENG HOME BASED CARE,125890.00
NORTH WEST,NG WELFARE NORTH WEST,59500.00
NORTH WEST,PHAPHAMANG 2 DAY CARE,118597.00
NORTH WEST,GOD IS ABLE,140500.00
NORTH WEST,MMAKJANA CHRISTIAN OLD AGE HOEM,148000.00
NORTH WEST,ST CATHERINE HOSPICE,171000.00
NORTH WEST,OLERATO CRECRE,87000.00
NORTH WEST,PHENYO EARLY LEARNING CENTRE,109260.00
NORTH WEST,WONDER TODDLERS,134500.00
NORTH WEST,RUTANANG AIDS PROJECT,194000.00
NORTH WEST,BOITUMELO DAY CARE CENTRE,111858.00
NORTH WEST,BOITEKONG EARLY LEARNING CENTRE,110300.00
LIMPOPO,BENNDE MUTALE HOME BASED CARE,134000.00
LIMPOPO,PROGRESS DROP IN CENTRE,119000.00
LIMPOPO,MALEKUTU CRECHE,116000.00
LIMPOPO,MOHLANATSI INTERGRATED RURA;,142000.00
LIMPOPO,RHANDZACECE CHILD DEVELOPMENT CENTRE,114200.00
LIMPOPO,ROOSSENKAL HOME BASED CARE,104500.00
LIMPOPO,GREATER GIYANI OLDER PERSONS FORUM,78000.00
LIMPOPO,THUSANANG TRUST HAENERTSBURG,260104.00
LIMPOPO,RAMOTSHINYADI HIV/AIDS YOUTH GUIDE,218000.00
LIMPOPO,TSHUBJE DROP IN CENTRE,94000.00
LIMPOPO,A RE FANENG MATSOGO CARE,72600.00
LIMPOPO,MAPHUTHA CHILD AND DEVELOPMENT YOUTH INITIATIVE,72600.00
LIMPOPO,MARULENG COMMUNIYT HOME BASED CARE,210500.00
LIMPOPO,XIKUTSU CRECHE,74500.00
LIMPOPO,SEGO HOME BASE CARE,124000.00
LIMPOPO,MZAMANI OLD  AGE CENTRE,60400.00
LIMPOPO,REHOLEGILE CRECHE,134700.00
LIMPOPO,HLAYISANI DROP IN CENTER,96510.00
LIMPOPO,THABANG HOME CRE,76500.00
LIMPOPO,MAMOKGA SEFOKO SUPPORT GROUP,75800.00
LIMPOPO,WOMEN IN MAKING,96000.00
LIMPOPO,MOOKGOPHONG DROP IN CENTRE,99000.00
LIMPOPO,SAVF LOUIS TRICHARDT,86500.00
LIMPOPO,NKOTLOLO DAY CARE CENTRE,73254.00
NORTH WEST,VUKUZENZELE DISABILTY,53916.00
NORTH WEST,RAMADITSI COMMUNITY HOPE CENTRE,69000.00
NORTH WEST,TOKOLOGO PRE SCHOOL,63100.00
NORTH WEST,THUSANANG TRUAMA CENTRE,93000.00
NORTH WEST,TLHOMAMO CHILD CARE COMMITTEE,141867.00
NORTH WEST,BOIKHUTSO ORPHANAGE REHAB AND OLD AGE  CARE CENTRE,80600.00
NORTH WEST,VER WES SOCIAL SERVICES,64600.00
NORTH WEST,CHILD WELFARE SOUTH AFRICA VRYBURG,110000.00
