Date,Project,Name,Province,Sector,Amount
2017-10-13,85265,THE ASSOCIATION FOR SUSTAINABLE RURAL DEVELOPMENT,NC,CHARITIES,2583333.0
2017-11-07,80827,RAINBOW DAY CARE CENTRE,NC,CHARITIES,1266667.0
2017-08-02,80324,IPOPENG DAY  CARE CENTRE,FS,CHARITIES,1266666.0
2017-08-02,74643,NELSON MANDELA BAY TOURISM,EC,ARTS,1200000.0
2017-08-02,74789,ICRD GROUP FOUNDATION TRUST,GP,ARTS,568800.0
2017-08-02,87070,RETHABILE EARLY LEARNING CENTRE,GP,CHARITIES,475340.0
2017-08-02,86170,Phathakahle Community Development,KZN,CHARITIES,415000.0
2017-08-02,88259,NATIONAL ASSOCIATION OF PEOPLE LIVING WITH HIV/AIDS (NAPWA),GP,CHARITIES,400000.0
2017-08-02,73432,VUKUZENZELE PROJECTS,GP,ARTS,380000.0
2017-08-02,83966,ERNEST BUTI CUM PRE-PRIMARY CRECHE,GP,CHARITIES,335580.0
2017-08-02,78989,SOPHAKAMA JUNIOR PRIMARY SCHOOL,EC,SPORTS,300300.0
2017-08-02,80164,VULUMZI LOWER PRIMARY SCHOOL,EC,SPORTS,300000.0
2017-08-02,89393,AFRICAN TAILS,WC,CHARITIES,294600.0
2017-08-02,87188,SPARROW SCHOOLS EDUCATIONAL TRUST,GP,CHARITIES,248069.0
2017-08-02,92893,RURAL ARTS NETWORK,WC,ARTS,240000.0
2017-08-02,91467,HUDSON PARK PRIMARY SCHOOL,EC,ARTS,227300.0
2017-08-02,89316,A C V V ABERDEEN,EC,CHARITIES,203000.0
2017-08-02,73859,THE CAPE LEOPARD TRUST,WC,ARTS,200000.0
2017-08-02,68516,LERATONG EARLY CHILDHOOD DEVELOPMENT,GP,CHARITIES,198850.0
2017-08-02,92977,TJAKASTAD EDUCARE CENTRE,MP,CHARITIES,181200.0
2017-08-02,87983,THE NEW BEGINNING EARLY CHILDHOOD TRAINING AND DEVELOPMENT PROJECT,KZN,CHARITIES,179761.0
2017-08-02,79045,MMAMAKWA FULL SERVICE PRIMARY SCHOOL,LP,SPORTS,175000.0
2017-08-02,71064,IKAHENG DAY CARE CENTRE,FS,CHARITIES,152850.0
2017-08-02,88070,GANYANI DAY CARE CENTRE,MP,CHARITIES,152150.0
2017-08-02,67723,SIPHUTHANDO HOME BASED CARE,GP,CHARITIES,152000.0
2017-08-02,94625,ISIBONELO NURSERY SCHOOL,MP,CHARITIES,150000.0
2017-07-13,98670,NC BLACKBALL POOL ASSOCIATION,NC,SPORTS,143000.0
2017-08-02,93003,SARISA PRE-SCHOOL,MP,CHARITIES,139051.0
2017-08-02,79105,WESTVIEW SQUASH CLUB,EC,SPORTS,135000.0
2017-08-02,89335,OREBABALETSE HOME BASED CARE,NW,CHARITIES,133000.0
2017-08-02,97074,GRASSROOTS EDGE,NC,CHARITIES,129600.0
2017-08-02,66463,PHOKENG TRAUMA CENTRE,NW,CHARITIES,121099.0
2017-08-02,94953,KROMDRAAI HOME BASED CARE,MP,CHARITIES,117598.0
2017-08-02,103657,MADUMANE PRIMARY SCHOOL,LP,MISC,111908.0
2017-08-02,62717,MGIDLA SECONDARY SCHOOL,KZN,SPORTS,106383.7
2017-08-02,65140,BOIPOLOKO STIMULATION DAY CARE CENTRE,GP,CHARITIES,106000.0
2017-08-02,87228,KANANELO CRECHE,FS,CHARITIES,100000.0
2017-08-02,97467,ILLUMINATE DAY CARE CENTRE,MP,CHARITIES,100000.0
2017-08-02,99238,KWA -THEMA DISABILITY CLUB,GP,SPORTS,100000.0
2017-12-15,94280,EKUKHANYENI CRECHE,GP,CHARITIES,99850.0
2017-08-02,96966,VEZOKUHLE MULTI-PURPOSE CENTRE,MP,CHARITIES,99500.0
2017-08-02,86023,PHAPHAPHANI CHILDWELFARE RESOURCE CENTRE,LP,CHARITIES,99000.0
2017-08-02,87370,NHLANHLENI COMMUNITY DEVELOPMENT,KZN,CHARITIES,95000.0
2017-08-02,94630,ITIRELENG PROJECT,NW,CHARITIES,86500.0
2017-08-02,68897,LINA MEMORIAL DAY CARE,GP,CHARITIES,80766.0
2017-08-02,94102,LESEDING CRECHE,FS,CHARITIES,80000.0
2017-08-02,89398,HOPE CAPE TOWN TRUST,WC,CHARITIES,75000.0
2017-08-02,87306,MASH'S COMPUTER TRAINING,GP,CHARITIES,73998.0
2017-08-02,68273,IMAMELLE DAY CARE CENTRE,GP,CHARITIES,72150.0
2017-08-02,102005,MATSHAVHAWE COMMUNITY ORGISTAION,LP,CHARITIES,70000.0
2017-08-02,100238,LONDANI COMMUNITY BASED CARE,LP,CHARITIES,63000.0
2017-08-02,72170,MATLEBJANE DAY CARE CENTRE,LP,CHARITIES,62600.0
