Province,Name,Amount
GAUTENG,MZANZI DANCE PRODUCTION,1468700.0
LIMPOPO,LENNES PRIMARY SCHOOL,5337890.0
MPUMALANGA,MAQHAWE THEATRE GROUP (MTG),647000.0
NORTHERN CAPE,TAUNG CULTURAL MUSIC AND ARTS EXPO,7652568.74
NORTH WEST,BAHURUTSHE EMANG,375000.0
LIMPOPO,NGWANA LEDWABA FOUNDATION,271990.0
LIMPOPO,SOUTH AFRICAN MUSIC AND PRODUCTIONS SOCIETY,144828.0
GAUTENG,REHAB THRU DANCE NPC,378000.0
KWAZULU-NATAL,RIGHT TO EMANCIPATION,447350.0
MPUMALANGA,AMOS / KGAPHAMADI COMMUNITY ORGANISATION,1000000.0
GAUTENG,NKOSI ALBERT LUTHULI AFRICAN FOUNDATION,1785400.0
GAUTENG,AFRICAN CULTURAL MUSIC AND DANCE ASSOCIATION(ACUMDA,2485000.0
GAUTENG,TEMBISA GOSPEL ASSOCIATION,349040.0
GAUTENG,TEMBISA GOSPEL ASSOCIATION,349040.0
GAUTENG,MOGALE ARTS AND HERITAGE DEVELOPMENT COMPANY NPC,457220.0
LIMPOPO,THE WORKS CULTURAL ORGANISATION,358000.0
KWAZULU-NATAL,AMANDLA AKAHLUMI,455860.0
KWAZULU-NATAL,KWAXIMBA CONSERVANCY,265768.0
GAUTENG,THE CHILDREN & BROADCASTING FOUNDATION FOR AFRICA,2000000.0
KWAZULU-NATAL,AFRICAN SPIRIT,1616250.0
GAUTENG,SHOMANG SEBENZANI DEVELOPMENT INITIATIVE,1793540.0
MPUMALANGA,KANYAMAZANE COMMUNUTY RADIO,967000.0
LIMPOPO,LEHLABILE COMMUNITY DEVELOPMENT FOUNDATION,241000.0
GAUTENG,TOGETHER-AS-ONE COMMUNITY DEVELOPMENT ORGANIZATION,1913000.0
WESTERN CAPE,SEBENZA ARTS AND CRAFTS,491200.0
LIMPOPO,MT CARE,370400.0
GAUTENG,THE SOUTH AFRICAN APARTHEID MUSEUM AT FREEDOM PARK,2369107.0
LIMPOPO,RI A KUNAKISA CLEANING ORGANISATION,251000.0
KWAZULU-NATAL,ARTISTS IN MISSION SOUTH AFRICA NPC,168000.0
LIMPOPO,BANA BA NKWE MASESANE CULTURAL PROJECT,201325.0
WESTERN CAPE,WESTCOAST ACADEMY OF PERFORMING ARTS,350000.0
KWAZULU-NATAL,EMZINI ART YOUTH PRODUCTION,223297.0
KWAZULU-NATAL,EMUHLE ALL ARTISTS,289400.0
KWAZULU-NATAL,OSIZWENI THEATRE PRODUCTION,904100.0
GAUTENG,INQOLOBANE YOUTH CLUB,280500.0
EASTERN CAPE,ARTS AND TEACHING INITIATIVES NPC,603160.0
GAUTENG,KAURU CONTEMPORARY ART PROJECT NPC,358000.0
GAUTENG,LIVE (T) AND RECORDED (X) THEATRE PRODUCTION,2142300.0
GAUTENG,INKANYEZI VISION ORGANISATION,760000.0
KWAZULU-NATAL,KWAMSINGA PRIMARY SCHOOL,200000.0
GAUTENG,KHWERHA YE AFRIKA PROJECTS,758000.0
WESTERN CAPE,THE LIVING ARTS FOUNDATION NPC,494091.0
LIMPOPO,ITSHOMELENG MULTI-PURPOSE CLUB,394609.0
WESTERN CAPE,EKHAYA EKASI ART AND EDUCATION CENTRE,293267.0
NORTH WEST,LEGAE ARTS INSTITUTION,1732124.0
NORTH WEST,TSWELELOPELE KA LEKGOTLA LA BOTAKI LE SETSO,1186800.0
WESTERN CAPE,SUSTAINABLE LIVELIHOODS FOUNDATION,1404500.0
KWAZULU-NATAL,AMATIKWE PRIMARY SCHOOL,200000.0
KWAZULU-NATAL,DANNHAUSER ACTIVE RURAL WOMEN ENSEMBLE,928000.0
MPUMALANGA,SEIPONE SA SETSO,283500.0
KWAZULU-NATAL,NTELEZI MSANI HERITAGE FOUNDATION,92000.0
GAUTENG,EDUCATION ALIVE,1565640.0
GAUTENG,MADONSELA ARTS AND FILM DEVELOPMENT,226127.0
GAUTENG,DOLCE VOCE ENTERTAINMENT,132128.0
GAUTENG,MOSITO WA MAMELODI,713000.0
NORTH WEST,SIYAJUXUZA MUSIC AND ARTS,344000.0
GAUTENG,TSHWANE TRUST,1743570.0
GAUTENG,RATANDA YOUNG GENERATION,993300.0
WESTERN CAPE,KHWA TTU SAN CULTURE AND EDUCATION CENTRE,3753722.0
GAUTENG,PASSION ARSENAL YOUTH DEVELOPMENT ORGANIZATION,428000.0
GAUTENG,PEOPLE PROTECTING CHILDREN  AND DISABLED INDIVIDUALS,227000.0
GAUTENG,ETERNAL WORD EMBASSY,606800.0
GAUTENG,MELISIZWE COMMUNITY THEATRE,1614800.0
NORTH WEST,RELOSIKA CULTURAL DANCE,229061.0
NORTH WEST,RELOSIKA CULTURAL DANCE,62937.0
EASTERN CAPE,IMBIZO ARTS OF SOUTH AFRICA,2430500.0
GAUTENG,EMFULENI ARTS & CULTURE FORUM,283800.0
EASTERN CAPE,EASTERN PROVINCE COMMUNITY PRINT MEDIA,773000.0
NORTH WEST,DIPHAFANA TSA SETSWANA,403180.0
GAUTENG,BIG  EAGLE YOUTH DEVELOPMENT,236200.0
WESTERN CAPE,RUDNET,2316929.0
MPUMALANGA,JOED MULTIPURPOSE ORGANISATION,300000.0
GAUTENG,UMZANSI ZULU DANCERS,688400.0
LIMPOPO,THUSA-BATHO FOUNDATION,308000.0
GAUTENG,BORN TO LEAD FOUNDATION,348000.0
FREE STATE,MORIBONG COMMUNITY ARTS CENTRE,498000.0
KWAZULU-NATAL,IMBOKODO ARTS COMPANY,288400.0
NORTH WEST,MAMOVICH,644500.0
KWAZULU-NATAL,INDONI SA,4661000.0
GAUTENG,HAPPY ARTS & CULTURE DEVELOPMENT ORGANISATION,295187.0
GAUTENG,JUVENILE DEVELOPMENT ARTS CENTRE,484500.0
GAUTENG,IMPUMELELO YAMA-AFRICA YOUNG GENERATION,334290.0
GAUTENG,CREATIVE ARTIDUDE SKILLS DEVELOPMENT,367000.0
FREE STATE,WORKING FOR CLIMATE,420887.0
FREE STATE,MOUNTAIN FREE PRODUCERS NPC,327575.0
KWAZULU-NATAL,MZANSI LEADING & UNDEAFEATED NETWORK,395076.0
LIMPOPO,KENNY SHIBAMBU TALENT DEVELOPMENT INSTITUTE,2299500.0
GAUTENG,ALEXANDRA YOUTH IN ACTION ENSEMBLE,748000.0
WESTERN CAPE,MABONENG TOWNSHIP ARTS EXPERIENCE,418400.0
NORTH WEST,ELINA KGOBE FOUNDATION,415000.0
GAUTENG,MUSIC PERFORMERS ASSOCIATION OF SOUTH AFRICA,434000.0
GAUTENG,NELLMAPIUS PRIMARY SCHOOL,100000.0
MPUMALANGA,MALWANA PRIMARY SCHOOL,409000.0
GAUTENG,AMAHLUBI ROYAL SUSTAINABLE DEVELOPMENT FOUNDATION,885000.0
KWAZULU-NATAL,KZN TOP MODEL SA,315000.0
FREE STATE,"KHOMANANI BUSINESS BLACK EMPOWEMENT ORGANISATION TRAINING AND
EDUCATION INSTITUTION",90200.0
MPUMALANGA,UMUZI WENKOSI CULTURAL YOUTH CENTRE,811454.0
NORTH WEST,S FOUNDATION,308058.0
EASTERN CAPE,SISIGQEBA SOKUHLUMA NPC,497239.0
GAUTENG,LEFIKA MUSIC ACADEMY,298000.0
KWAZULU-NATAL,"INDLONDLO ZULU DANCERS,CULTURAL AND ART CENTRE",1198000.0
GAUTENG,JAZZ CAMP FOR FEMALE INSTRUMENTALISTS MAMELODI,2286482.0
WESTERN CAPE,PROJECT 90 BY 2030,900000.0
WESTERN CAPE,LANGEBERG KHOISAN FIRST NATION,251369.0
WESTERN CAPE,VENALOR NPC,4672180.0
GAUTENG,AFRICAN ART FOUNDATION,301200.0
GAUTENG,INDONSAKUSA ART PRODUCTIONS,198000.0
FREE STATE,TROUBLE GOOD ENTERTAINMENT,406750.0
GAUTENG,MARU CIBERCONNECT,3358218.0
LIMPOPO,TIMBILA POETRY PROJECT,2024126.0
FREE STATE,RONA,357101.0
WESTERN CAPE,GUGULETHU ARTS FESTIVAL NPC,360000.0
KWAZULU-NATAL,SIYAVUNA ABALIMI DEVELOPMENT CENTRE,800000.0
NORTHERN CAPE,GARIES DEVELOPMENT INITIATIVE,2385517.0
LIMPOPO,MAHAMBA INSTITUTE FOR DEVELOPMENT SERVICES,997000.0
NORTH WEST,LEANO LA BOPHELO,417993.0
GAUTENG,UNOMTHANDAZO COMPANY,919500.0
FREE STATE,"FREE STATE PERFORMING ARTS AND TRANSPORT FOR PEOPLE WITH
DISABILITIES",458463.0
FREE STATE,FREE STATE ARTS COUNCIL,468029.0
KWAZULU-NATAL,UZULU ARTS AND HERITAGE,332200.0
GAUTENG,THEMBALETHU DEVELOPMENT NPC,1395000.0
GAUTENG,GREEN DEVELOPMENT FOUNDATION NPC,3765068.0
GAUTENG,SELCOURT PRIMARY SCHOOL,50000.0
GAUTENG,LAERSKOOL GENERAAL BEYERS,100000.0
GAUTENG,SHILUBA,207000.0
GAUTENG,ROOM 13 ART CENTRE,193500.0
FREE STATE,INFINI3,497200.0
FREE STATE,SAKHILE CULTURAL GROUP,370500.0
MPUMALANGA,SIYAVUMA NEW GENERATION,268450.0
MPUMALANGA,THE CREATIVES OF NONTETHELELO ACADEMY,431205.0
MPUMALANGA,CHANGING LIVES FOUNDATION,287915.0
GAUTENG,REAMOGETSE SKILLS DEVELOPMENT,258000.0
NORTHERN CAPE,DESTINED FOR GREATNESS,405400.0
NORTHERN CAPE,UNIQUE EMPOWERMENT PROJECT,495620.0
NORTHERN CAPE,TUMI LEEUW PRODUCTIONS,990000.0
GAUTENG,MZUMBE PERFORMING ARTISTS,239600.0
WESTERN CAPE,ZAMA DANCE SCHOOL TRUST,575763.0
GAUTENG,JOINT-HANDS SKILLS PROJECT,298000.0
KWAZULU-NATAL,UKUSA KWELANGA PROJECTS,268134.0
NORTHERN CAPE,ISIVIVANE ARTS ENSEMBLE,198000.0
GAUTENG,BRAAMFISCHER ENVIRONMENTAL PROJECTS,468000.0
GAUTENG,THE RECORDING INDUSTRY OF SOUTH AFRICA,4963000.0
GAUTENG,REATA DEVELOPMENT PROJECTS,263900.0
KWAZULU-NATAL,I GRAND TENORI,489428.0
MPUMALANGA,MASIBAMBISANENI - TSHWARANANG,1426888.0
GAUTENG,THE SWAZI AMANGCAMANE NATION OF THE REPUBLIC OF SOUTH AFRIC,220000.0
FREE STATE,DINALEDI PEOPLES DEVELOPMENT CLUB,204073.0
GAUTENG,PHAMBILI SIYAYA ARTS,1534000.0
NORTH WEST,BOTHAKGA  DIRANG NPC,461820.0
GAUTENG,BATSHEHETSI BA LENTSWE GOSPEL CHOIR,266000.0
GAUTENG,EKURHULENI MEN'S PIONEERS,331000.0
GAUTENG,KOKETSO DANCE PROJECT,249680.0
NORTH WEST,MEDIRO ART PROJECT,488000.0
GAUTENG,JONES FASHION SCHOOL,328000.0
WESTERN CAPE,UMOJA SKILLS DEVELOPMENT,464132.0
GAUTENG,INDUKU ENHLE ARTS EDUCATIONAL PROJECT,257798.0
WESTERN CAPE,SOUTH AFRICAN NATIONAL DANCE TRUST,925750.0
WESTERN CAPE,QOLOTHANI MAKHOSIKAZI SOCIAL AND CULTURAL SERVICE,617199.0
GAUTENG,ORCHARDS PROJECT NPC,480000.0
GAUTENG,SOWETO ART & CRAFT DEVELOPMENT,874662.0
GAUTENG,AGANANG,170000.0
KWAZULU-NATAL,VUSENHLE YOUTH ORGANISATION,267299.0
FREE STATE,OPENING ACT,330000.0
GAUTENG,MALATSI MEDIA INSTITUTE,798000.0
GAUTENG,SOUTH AFRICAN BOARD OF ENTREPRENEURSHIP,216000.0
KWAZULU-NATAL,JAZZ AT THE DRAKENSBERG,398000.0
NORTHERN CAPE,HA RE HOADO HERITAGE CENTRE (COME TOGETHER ALL),441000.0
GAUTENG,MZANSI MUSIC ENSEMBLE,242875.0
MPUMALANGA,SIDLANGALOLUDZALA DANCE GROUP,230740.0
GAUTENG,THE HEARTLINES CENTRE NPC,971000.0
GAUTENG,PINOS THABU CREATIVE EMPOWERMENT GROUP OF AFRICA,228000.0
KWAZULU-NATAL,KASIE AMAZING YOUNG ARTIST,188000.0
NORTH WEST,AGANANG GOSPEL MUSIC ASSOCIATION,198000.0
GAUTENG,LONDILOX NPC,1544400.0
FREE STATE,FREE STATE WOMBMAN IN THEATRE,500000.0
FREE STATE,LEKHOTLA LA BASOTHO,307550.0
