Province,Name,Amount
WC,COMMUNITY WOMAN ACTION,88000.00
WC,"UNION INTERNATIONAL DE LA MARIONETTE, SOUTH AFRICA",251000.00
GP,COTLANDS,940000.00
GP,AMT COMMUNITY DEVELOPMENT,231000.00
GP,CROWN OF GLORY MISSION,200500.00
GP,SENZOKUHLE DAY CARE CENTRE,135000.00
GP,NOORDEGESIG EVANGELISTIC LIFE SKILLS AND DEVELOPMENT,120500.00
LP,BOPHELO PELE COMMUNITY DEVELOPMENT,111500.00
LP,TSHANDAMA/LIKAU DROP IN CENTRE,163300.00
LP,NONCEBO COMMUNITY DEVELOPMENT,190322.00
LP,NHLAHLE N DAY CARE CENTRE /CRECRE,84000.00
LP,THUSANANG DROP IN CENTRE,88504.00
NW,ITHUTENG HOME BASED CARE,125890.00
NW,NG WELFARE NORTH WEST,59500.00
NW,PHAPHAMANG 2 DAY CARE,118597.00
NW,GOD IS ABLE,140500.00
NW,MMAKJANA CHRISTIAN OLD AGE HOEM,148000.00
NW,ST CATHERINE HOSPICE,171000.00
NW,OLERATO CRECRE,87000.00
NW,PHENYO EARLY LEARNING CENTRE,109260.00
NW,WONDER TODDLERS,134500.00
NW,RUTANANG AIDS PROJECT,194000.00
NW,BOITUMELO DAY CARE CENTRE,111858.00
NW,BOITEKONG EARLY LEARNING CENTRE,110300.00
LP,BENNDE MUTALE HOME BASED CARE,134000.00
LP,PROGRESS DROP IN CENTRE,119000.00
LP,MALEKUTU CRECHE,116000.00
LP,MOHLANATSI INTERGRATED RURA;,142000.00
LP,RHANDZACECE CHILD DEVELOPMENT CENTRE,114200.00
LP,ROOSSENKAL HOME BASED CARE,104500.00
LP,GREATER GIYANI OLDER PERSONS FORUM,78000.00
LP,THUSANANG TRUST HAENERTSBURG,260104.00
LP,RAMOTSHINYADI HIV/AIDS YOUTH GUIDE,218000.00
LP,TSHUBJE DROP IN CENTRE,94000.00
LP,A RE FANENG MATSOGO CARE,72600.00
LP,MAPHUTHA CHILD AND DEVELOPMENT YOUTH INITIATIVE,72600.00
LP,MARULENG COMMUNIYT HOME BASED CARE,210500.00
LP,XIKUTSU CRECHE,74500.00
LP,SEGO HOME BASE CARE,124000.00
LP,MZAMANI OLD AGE CENTRE,60400.00
LP,REHOLEGILE CRECHE,134700.00
LP,HLAYISANI DROP IN CENTER,96510.00
LP,THABANG HOME CRE,76500.00
LP,MAMOKGA SEFOKO SUPPORT GROUP,75800.00
LP,WOMEN IN MAKING,96000.00
LP,MOOKGOPHONG DROP IN CENTRE,99000.00
LP,SAVF LOUIS TRICHARDT,86500.00
LP,NKOTLOLO DAY CARE CENTRE,73254.00
NW,VUKUZENZELE DISABILTY,53916.00
NW,RAMADITSI COMMUNITY HOPE CENTRE,69000.00
NW,TOKOLOGO PRE SCHOOL,63100.00
NW,THUSANANG TRUAMA CENTRE,93000.00
NW,TLHOMAMO CHILD CARE COMMITTEE,141867.00
NW,BOIKHUTSO ORPHANAGE REHAB AND OLD AGE CARE CENTRE,80600.00
NW,VER WES SOCIAL SERVICES,64600.00
NW,CHILD WELFARE SOUTH AFRICA VRYBURG,110000.00
NW,TSHWARAGANO EARLY LEARNING CENTRE,77500.00
NW,SAAMSPAN DIENSSENTRUM VIR BEJAARDES,101383.00
NW,VESSELS OF MERCY,97000.00
NW,THE ENABLEMENT CENTRE FOR DISABLED,179299.00
NW,SOUTH AFRICAN COMMUNITY DEVELOPMENT,118000.00
GP,STARS OF EAST REACHING FOR GOLD,284300.00
FS,ADONAI DAY CARE,238800.00
FS,ATLEHANG MULTIPUPOSE CENTRE,182600.00
FS,FAMSA BLOEMFONTEIN SOUTHER FREE STATE,708411.00
FS,BUYANI EDUCARE CENTRE,299300.00
FS,TLHOLONG DAY CARE CRECHE,179064.00
FS,BOPANG LERATO DAY CARE CENTRE,230478.00
FS,KANENELO CRECHE,180100.00
FS,THABONG CRECHE,249247.00
FS,SUN RISE PRE SCHOOL,343093.00
FS,LESEDING CRECHE,127057.00
FS,BAMBANI SUPPORT GROUP,201400.00
FS,BONANG BACHA HEALTH CARE CENTRE,143300.00
FS,JABULANI DAY CARE,158160.00
FS,PHILANI VICTIM SUPPORT CENTRE,201502.00
FS,SIYAZENZELA PEOPLE WITH DISABILITY,98898.00
FS,NOMZAMO CRECHE,137193.00
FS,NTSHIDISENG DAY CARE,195840.00
FS,KHAUHELO CRECHE,230000.00
FS,MPHO CRECHE,181600.00
FS,HLOMPONG BOARDING DAY &CARE,221795.00
FS,TATASANGWANA MATHS AND SCIENCE PROJECT,232700.00
FS,LERATONG CRECHE,209100.00
FS,TSHIRELETSO DAY CARE,210400.00
FS,PABALLO DAY CARE FOR DISABLED,203534.00
FS,KUYASA DAY CARE,181700.00
FS,NEW BEGINNING CRECHE,227300.00
FS,KGODISO YA KA CRECHE,233268.00
FS,MMABANA DAY CARE CENTRE,128000.00
FS,MAFUBE VICTIM SUPPORT CENTRE,256895.00
FS,TIRISANO KA BOTSHELO DAY CARE,195500.00
FS,TLHOKOMELA SOUP KITCHEN,135471.00
FS,FADIMEHANG DAY CARE CENTRE,152211.00
FS,DANKBAAR SENOIR SENTRUM NENEL,200025.00
GP,TSHWANE SCHOOL OF MUSIC,200000.00
GP,LIFE FOR IMPACT IN 21ST CENTURY NPC,10106800.00
GP,POETRY GALORE,34600.00
NC,FIRE CHARISMATIC,2960000.00
GP,BOPHELONG DAY CARE CENTRE,244500.00
GP,DITEBOGO DAY CARE CENTRE,221500.00
GP,KLUPSPRUIT WEST FAMILY CENTRE,259500.00
