Date,"Project Number",Name,Amount
2017-10-13T00:00:00Z,85265,"THE ASSOCIATION FOR SUSTAINABLE RURAL DEVELOPMENT",2583333.0
2017-11-07T00:00:00Z,80827,"RAINBOW DAY CARE CENTRE",1266667.0
2017-08-02T00:00:00Z,74643,"NELSON MANDELA BAY TOURISM",1200000.0
2017-08-02T00:00:00Z,87070,"RETHABILE EARLY LEARNING CENTRE",475340.0
2017-08-02T00:00:00Z,86170,"Phathakahle Community Development",415000.0
2017-08-02T00:00:00Z,88259,"NATIONAL ASSOCIATION OF PEOPLE LIVING WITH HIV/AIDS (NAPWA)",400000.0
2017-08-02T00:00:00Z,73432,"VUKUZENZELE PROJECTS",380000.0
2017-08-02T00:00:00Z,83966,"ERNEST BUTI CUM PRE",335580.0
2017-08-02T00:00:00Z,78989,"SOPHAKAMA JUNIOR PRIMARY SCHOOL",300300.0
2017-08-02T00:00:00Z,80164,"VULUMZI LOWER PRIMARY SCHOOL",300000.0
2017-08-02T00:00:00Z,89393,"AFRICAN TAILS",294600.0
2017-08-02T00:00:00Z,87188,"SPARROW SCHOOLS EDUCATIONAL TRUST",248069.0
2017-08-02T00:00:00Z,92893,"RURAL ARTS NETWORK",240000.0
2017-08-02T00:00:00Z,91467,"HUDSON PARK PRIMARY SCHOOL",227300.0
2017-08-02T00:00:00Z,89316,"A C V V ABERDEEN",203000.0
2017-08-02T00:00:00Z,73859,"THE CAPE LEOPARD TRUST",200000.0
2017-08-02T00:00:00Z,68516,"LERATONG EARLY CHILDHOOD DEVELOPMENT",198850.0
2017-08-02T00:00:00Z,92977,"TJAKASTAD EDUCARE CENTRE",181200.0
2017-08-02T00:00:00Z,87983,"THE NEW BEGINNING EARLY CHILDHOOD TRAINING AND DEVELOPMENT PROJECT",179761.0
2017-08-02T00:00:00Z,79045,"MMAMAKWA FULL SERVICE PRIMARY SCHOOL",175000.0
2017-08-02T00:00:00Z,71064,"IKAHENG DAY CARE CENTRE",152850.0
2017-08-02T00:00:00Z,88070,"GANYANI DAY CARE CENTRE",152150.0
2017-08-02T00:00:00Z,67723,"SIPHUTHANDO HOME BASED CARE",152000.0
2017-08-02T00:00:00Z,94625,"ISIBONELO NURSERY SCHOOL",150000.0
2017-07-13T00:00:00Z,98670,"NC BLACKBALL POOL ASSOCIATION",143000.0
2017-08-02T00:00:00Z,93003,"SARISA PRE",139051.0
2017-08-02T00:00:00Z,79105,"WESTVIEW SQUASH CLUB",135000.0
2017-08-02T00:00:00Z,89335,"OREBABALETSE HOME BASED CARE",133000.0
2017-08-02T00:00:00Z,97074,"GRASSROOTS EDGE",129600.0
2017-08-02T00:00:00Z,66463,"PHOKENG TRAUMA CENTRE",121099.0
2018-02-28T00:00:00Z,90138,"SITHEMBIMFUNDO CRECHE & PRE",0
2017-08-02T00:00:00Z,94953,"KROMDRAAI HOME BASED CARE",117598.0
2017-08-02T00:00:00Z,103657,"MADUMANE PRIMARY SCHOOL",111908.0
2017-08-02T00:00:00Z,62717,"MGIDLA SECONDARY SCHOOL",106383.7
2017-08-02T00:00:00Z,65140,"BOIPOLOKO STIMULATION DAY CARE CENTRE",106000.0
2017-08-02T00:00:00Z,87228,"KANANELO CRECHE",100000.0
2017-08-02T00:00:00Z,97467,"ILLUMINATE DAY CARE CENTRE",100000.0
2017-08-02T00:00:00Z,99238,KWA,100000.0
2017-12-15T00:00:00Z,94280,"EKUKHANYENI CRECHE",99850.0
2017-08-02T00:00:00Z,96966,"VEZOKUHLE MULTI",99500.0
2017-08-02T00:00:00Z,86023,"PHAPHAPHANI CHILDWELFARE RESOURCE CENTRE",99000.0
2017-08-02T00:00:00Z,87370,"NHLANHLENI COMMUNITY DEVELOPMENT",95000.0
2017-08-02T00:00:00Z,94630,"ITIRELENG PROJECT",86500.0
2017-08-02T00:00:00Z,68897,"LINA MEMORIAL DAY CARE",80766.0
2017-08-02T00:00:00Z,89398,"HOPE CAPE TOWN TRUST",75000.0
2017-08-02T00:00:00Z,87306,"MASH'S COMPUTER TRAINING",73998.0
2017-08-02T00:00:00Z,68273,"IMAMELLE DAY CARE CENTRE",72150.0
2017-08-02T00:00:00Z,102005,"MATSHAVHAWE COMMUNITY ORGISTAION",70000.0
2017-08-02T00:00:00Z,100238,"LONDANI COMMUNITY BASED CARE",63000.0
2017-08-02T00:00:00Z,72170,"MATLEBJANE DAY CARE CENTRE",62600.0
2017-08-02T00:00:00Z,101999,"SILVERLEAF RUGBY CLUB",58898.4
2017-08-02T00:00:00Z,91581,"NYELISANI COMMUNITY OLD AGE PROJECT",55000.0
2017-08-02T00:00:00Z,60974,"KHETHAPOYE PRIMARY SCHOOL",49000.0
2017-08-02T00:00:00Z,61326,"PFUKA U TI TIRHELA SEWING PROJECT",48250.0
2017-09-07T00:00:00Z,15209,MINTEK,2290000.0
2017-06-21T00:00:00Z,16563,"WESTERN CAPE NATURE CONSERVATION BOARD",205880.0
2018-02-09T00:00:00Z,23499,"ACVV OLIFANTSHOEK",200000.0
2017-10-27T00:00:00Z,38381,"MOLAPO MATEBELE PRIMARY SCHOOL",200000.0
2017-10-27T00:00:00Z,39994,"MAROKOLONG PRIMARY SCHOOL",350000.0
2017-05-03T00:00:00Z,40219,"KOPANELO SECONDARY SCHOOL",218949.0
2018-03-14T00:00:00Z,42374,"SHIBANGWA CRECHE",145500.0
2017-08-01T00:00:00Z,42464,"MOKOPANE NOOD FORUM",149478.0
2018-03-16T00:00:00Z,42467,"WILDLANDS CONSERVATION TRUST",190000.0
2017-05-25T00:00:00Z,43144,"SUKUMA CATO CREST",7155119.12
2017-09-19T00:00:00Z,43362,"ARTS AND CULTURE TRUST",400000.0
2017-05-17T00:00:00Z,44587,"MPUMALANGA TOURISM & PARKS AGENCY",570000.0
2017-05-11T00:00:00Z,46064,"KOPANO KE MATLA YOUTH GROUP",278168.0
2018-02-15T00:00:00Z,46158,"EASTERN PROVINCE RUGBY UNION (EPRU)",3749000.0
2017-06-21T00:00:00Z,46178,"CLASS ACT EDUCATIONAL SERVICES",1306424.8
2017-12-15T00:00:00Z,46485,"COLLEGE OF CAPE TOWN",500000.0
2017-05-12T00:00:00Z,46550,KWAZULU,400000.0
2017-05-03T00:00:00Z,46617,"LIFESAVING WESTERN PROVINCE ASSOCIATION",376900.0
2017-04-07T00:00:00Z,46686,"BOLAND GOLF UNION",454750.0
2017-12-15T00:00:00Z,46724,"NORTHRENS CRICKET UNION",1125000.0
2017-06-21T00:00:00Z,50794,"CATHUZA STIMULATION CENTRE",137637.0
2017-12-14T00:00:00Z,51976,"DIE GROBLERSHOOP KINDER",81289.0
2017-09-07T00:00:00Z,52711,"TSHIRELETSEGO CARE AND SUPPORT",195045.0
2017-06-21T00:00:00Z,53225,"ANGELO MATORDES PRE",84500.0
2017-09-13T00:00:00Z,54278,"KGATELOPELE DAY CARE CENTRE",96000.0
2017-10-27T00:00:00Z,54320,"ST THERESA MMABANA EDUCARE CENTRE",117500.0
2018-02-09T00:00:00Z,54510,"SOKAPHO PRIMARY SCHOOL",199300.0
2017-09-01T00:00:00Z,54533,"MORAGE PRIMARY SCHOOL",456412.0
2017-04-19T00:00:00Z,54872,"EPILEPSY SOUTH AFRICA, FREE STATE & NORTH WEST BRANCH",1165250.18
2017-04-19T00:00:00Z,54907,"NOVALIS HOUSE",396496.8
2018-03-12T00:00:00Z,55268,"THE JAZZ FOUNDATION OF SA",800000.0
2017-07-20T00:00:00Z,55859,"THE ARTS + UBUNTU TRUST",1385446.0
2018-01-29T00:00:00Z,55890,"THE SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS TSHWANE",77380.0
2017-09-01T00:00:00Z,55983,"THE FRIENDS OF THE HELDERBERG NATURE RESERVE",404552.4
2018-01-16T00:00:00Z,56212,"IRENE HOMES",240208.4
2018-03-16T00:00:00Z,56224,"HLATLAGANYA DROP",25326.59
2017-05-03T00:00:00Z,56225,"PAKAMA PRODUCTIONS",181462.09
2017-06-05T00:00:00Z,56236,"TERTIARY SCHOOL IN BUSINESS ADMINISTRATION (TSIBA EDUCATION)",114660.0
2017-11-27T00:00:00Z,56304,"PHUMELELA EDUCATIONAL TRAINING PROJECT",3596627.61
2017-05-05T00:00:00Z,56395,"VERA SCHOOL FOR AUSTIC LEARNER",127144.0
2017-04-07T00:00:00Z,56541,"STELLENBOSCH UNIVERSITY",225990.0
2018-03-16T00:00:00Z,56756,"ZIKHALI PRIMARY SCHOOL",43522.86
2018-02-28T00:00:00Z,57170,"TENTELE DISABLED CENTRE",193795.0
2017-10-13T00:00:00Z,57504,"PROFESSIONAL PRE SCHOOL",75949.0
2018-01-29T00:00:00Z,59355,"AFRICA SOUTH ART INITIATIVE",180000.0
2017-10-27T00:00:00Z,59451,"GRAHAMSTOWN FOUNDATION",1632242.0
2017-07-24T00:00:00Z,59849,"ISIBUSISO YOUTH ORGANISATION",184160.0
2017-09-28T00:00:00Z,60371,"Lingelihle Senior Secondary School",100000.0
2017-06-05T00:00:00Z,60402,"BIOPOPO INTERMEDIATE SCHOOL",100000.0
2018-03-02T00:00:00Z,60479,"HOLPAN PRIMARY SCHOOL",100000.0
2017-07-24T00:00:00Z,60584,"TATSHANA PRIMARY SCHOOL",95587.0
2017-08-01T00:00:00Z,60657,"WELKOM WRESTLING CLUB",200000.0
2018-02-28T00:00:00Z,61169,"TIPFUXENI PRIMARY SCHOOL",50141.0
2017-05-12T00:00:00Z,61318,"HARD WORKERS CRECHE",78200.0
2017-05-12T00:00:00Z,61322,"MAQOPANA CRECHE",70560.0
2017-05-03T00:00:00Z,61349,"ROBERT MAYINGA CRECHE",144600.0
2017-05-12T00:00:00Z,61361,"ALLANDALE CRECHE",139500.0
2017-12-14T00:00:00Z,61456,"MUSALELA DAY CARE CENTRE",70275.0
2017-09-01T00:00:00Z,61873,"SA LIFESAVING",1743000.0
2017-05-12T00:00:00Z,61943,"JAMEYANA PRIMARY SCHOOL",50000.0
2017-10-27T00:00:00Z,62014,"KWAMANALA SECONDARY SCHOOL",99980.0
2018-01-18T00:00:00Z,62016,"SIYAPHAMBILI PRIMARY SCHOOL",65180.0
2017-11-21T00:00:00Z,62085,"KYOKUSHIN KARATE CLUB",100000.0
2017-09-13T00:00:00Z,62109,"MAHUVO SECONDARY SCHOOL",100000.0
2017-09-01T00:00:00Z,62111,"TWALAKULE PRIMARY SCHOOL",50000.0
2017-07-24T00:00:00Z,62119,"M P STREAM UNITED FC",200000.0
2017-09-01T00:00:00Z,62122,"SABEKA PRIMARY SCHOOL",100000.0
2017-10-27T00:00:00Z,62278,"THUTO KE TSELA PRIMARY SCHOOL",50000.0
2017-08-17T00:00:00Z,62784,"GAVAZANA PRIMARY SCHOOL",95260.0
2017-08-17T00:00:00Z,62820,"PLUMSTEAD BOWLING CLUB",58500.0
2017-07-24T00:00:00Z,62887,"PAULOS NGOBENI PRIMARY SCHOOL",100000.0
2017-07-24T00:00:00Z,63058,"NUWERUS HIGH SCHOOL",100000.0
2017-12-05T00:00:00Z,63099,"SANDILE PRIMARY SCHOOL",100000.0
2017-10-27T00:00:00Z,63561,"GREENVALLEY HOME BASED CARE",67000.0
2017-06-13T00:00:00Z,63726,"SOWETO ANGELS",100000.0
2018-03-16T00:00:00Z,63912,"MNGAYI PRIMARY SCHOOL",59900.0
2017-12-15T00:00:00Z,63996,"LEFISWANE PRIMARY SCHOOL",100000.0
2018-01-19T00:00:00Z,64024,"SITJHEJIWE SECONDARY SCHOOL",50000.0
2017-08-15T00:00:00Z,64165,"SEVENGWANA HIGH SCHOOL",180000.0
2017-10-27T00:00:00Z,64230,"NCEBA PUBLIC SCHOOL",100000.0
2017-05-05T00:00:00Z,64378,"UNIVERSITY OF THE WITWATERSRAND",200000.0
2017-10-27T00:00:00Z,64403,"THE OLD EDWARDIAN SOCIETY",50000.0
2017-05-12T00:00:00Z,64513,KWAZULU,50000.0
2018-02-09T00:00:00Z,64769,"MIDLANDS RUGBY SUB",200000.0
2018-03-16T00:00:00Z,64823,"LINA COMMUNITY DEVELOPMENT",125750.0
2017-10-27T00:00:00Z,64829,"MAKOKO SECONDARY SCHOOL",80709.98
2018-02-28T00:00:00Z,64893,"MALEGODI PRIMARY SCHOOL",100000.0
2018-01-29T00:00:00Z,65078,"MAPANGULA PRIMARY SCHOOL",100000.0
2018-03-16T00:00:00Z,65231,"SIKHULILE CRECHE",230700.0
2017-11-14T00:00:00Z,65344,"MOSES KOTANI LOCAL FOOTBALL ASSOCIATION",1432219.61
2017-05-03T00:00:00Z,65383,"MAZINYANE PRE CRECHE",512000.0
2017-05-12T00:00:00Z,65385,"TLHARIHANI CRECHE",105650.0
2017-10-13T00:00:00Z,65525,"NOMAXABISO CENTRE FOR CHILDREN WITH SPECIAL NEEDS & INCLUSIVE EDUCATION",106885.0
2017-12-15T00:00:00Z,65637,"XIKWEMBU XINA HINA DISABILITY CENTRE",175350.0
2017-12-15T00:00:00Z,65714,"KGAUHELO DAY CARE CENTRE",112000.0
2017-09-01T00:00:00Z,66234,"MASIKHONZANE PRE",67125.0
2018-01-16T00:00:00Z,66314,"SIYADINGANA COMMUNITY SERVICE PROJECT",101750.0
2018-01-19T00:00:00Z,66338,"TIBA SERVICES FOR THE BLIND",57500.0
2017-04-19T00:00:00Z,66571,"MAMANOBO COMMUNITY DEVELOPMENT",221500.0
2017-09-28T00:00:00Z,66598,"HOLY UNITED OVC DAY CARE AND HOME BASED CENTRE",279999.0
2017-08-17T00:00:00Z,66990,"NSUKU EARLY LEARNING CENTRE",125555.0
2017-12-15T00:00:00Z,67003,"MANEPA CARE CENTRE PROJECT",121380.0
2017-08-30T00:00:00Z,67285,"SIYABONGA DAY CARE CENTRE",157000.0
2018-02-09T00:00:00Z,67362,"THANDANANI HOME BASED CARE",185560.0
2017-05-05T00:00:00Z,67380,"BONISIWE FIELD CARE",410983.0
2017-04-07T00:00:00Z,67466,"EMAFEZINI EDUCARE CENTRE",126392.0
2017-06-21T00:00:00Z,67580,SEKA,169000.0
2017-05-12T00:00:00Z,67678,"MAMOHAU PRE",195018.0
2017-10-27T00:00:00Z,67748,"DUDISANANG KGABEDI PROJECT",95877.0
2017-11-28T00:00:00Z,67754,"INTUTHUKO NURSERY",128268.0
2017-12-15T00:00:00Z,67772,"THE WAY IMVELO DAY CARE",47500.0
2017-10-27T00:00:00Z,67834,"EAGLE NEST NURSEY SCHOOL",146800.0
